"Sample"	"Concentration (mg C/L)"	"LCL"	"UCL"	"SE"
"0"	0.59827431665239	-1.82382600166536	3.02037463497014	0.419157885762353
"5"	5.37918250476922	2.99266660095219	7.76569840858625	0.391785593187683
"10"	9.90281953278097	7.54489266945918	12.2607463961028	0.368646508963613
"25"	24.6288838301483	22.3277634974192	26.9300041628775	0.318695494975561
"50"	48.8614312387157	46.527177159847	51.1956853175844	0.348555373026825
"100"	100.629408576933	97.7602707549951	103.498546398872	0.694651843282411
"MEM2011_001"	10.4761177942125	8.12145169910133	12.8307838893236	0.365932801784204
"MEM2011_002"	8.59935035131731	6.23370376492398	10.9649969377106	0.375007478283069
"MEM2011_003"	6.81100204326979	4.43407896968362	9.18792511685596	0.384146079691459
"MEM2011_004"	6.93935240030669	4.56326483840368	9.31543996220971	0.383474965754628
"MEM2011_005"	4.56629691020217	2.1741139980895	6.95847982231483	0.396243623384765
"MEM2011_006"	4.30959619612836	1.91559070600126	6.70360168625546	0.397668984923007
"MEM2011_007"	29.0669539534688	26.7716403147584	31.3622675921792	0.313216318220233
"MEM2011_008"	29.4947884769252	27.1997523521956	31.7898246016548	0.312952405032885
"MEM2011_009"	31.2346488723143	28.9402287301432	33.5290690144855	0.312365928948981
"MEM2011_010"	32.0617956176632	29.7673796247141	34.3562116106124	0.312361975281566
"MEM2011_011"	7.99467755816567	5.62530643135509	10.3640486849763	0.378045497997134
"MEM2011_012"	7.98612086769655	5.61669638618446	10.3555453492086	0.378088875396235
"MEM2011_013"	7.80072590753213	5.43014096978433	10.1713108452799	0.379031339779698
"MEM2011_014"	6.59423255138524	4.2158892436377	8.97257585913278	0.385284721313741
"MEM2011_015"	5.41911372695848	3.03287209666849	7.80535535724847	0.391568814396839
"MEM2011_016"	5.4048525761766	3.01851303530097	7.79119211705223	0.391646211334728
"MEM2011_017"	13.3369046410572	10.9972674157385	15.6765418663759	0.35320637931288
"MEM2011_018"	13.3796880934029	11.0402597919242	15.7191163948815	0.353026814673281
"MEM2011_019"	6.23770378183828	3.85699961779618	8.61840794588039	0.387171571813598
"MEM2011_020"	6.060865512143	3.67897887650801	8.44275214777798	0.38811388260897
"MEM2011_021"	7.57539972517845	5.20339297787569	9.94740647248122	0.380183503752762
"MEM2011_022"	7.65526216955697	5.28376078562697	10.026763553487	0.37977430363664
