Lake	Year	ChlA
Ives	2011	2.03
Howe	2011	0.75
Rush	2011	0.65
Pony	2011	24.58
UpperPine	2011	2.14
SecondPine	2011	2.13
Lily	2011	5.77
Mountain	2011	1.8
Ann	2011	1.31
Canyon	2011	3.7
Canyon	2012	1.63
Pony	2012	16.35
UpperPine	2012	8.55
Howe	2012	1.85
Ann	2012	1.25
Lily	2012	3.55
SecondPine	2012	3.76
Ives	2012	1.39
Mountain	2012	2.14
Rush	2012	1.23
