"Sample"	"Concentration (ug P/L)"	"LCL"	"UCL"	"SE"
"0"	0.280107283167115	-0.568171150145467	1.1283857164797	0.126505147271794
"0"	0.506746487732536	-0.341254385137006	1.35474736060208	0.126094875689073
"5"	4.88843777599733	4.04544553495691	5.73143001703776	0.118472102150347
"5"	5.03953057904095	4.19669884437934	5.88236231370255	0.118220467882206
"5"	5.11507698056275	4.27232519212751	5.957828768998	0.118094949863356
"10"	9.57231467034936	8.73391542953165	10.4107139111671	0.111066516095694
"10"	9.79895387491478	8.96075670397571	10.6371510458539	0.110730295199552
"10"	9.87450027643659	9.03637004604015	10.712630506833	0.110618706454979
"25"	25.2104197853634	24.3815099485835	26.0393296221433	0.094091233498909
"25"	24.983780580798	24.154798476111	25.812762685485	0.0942312726146883
"25"	24.9082341792762	24.0792275550785	25.7372408034738	0.094278741477992
"50"	49.989639484516	49.156923945019	50.8223550240131	0.101218040489363
"50"	49.7630002799506	48.930424216742	50.5955763431592	0.100965171560539
"50"	49.8385466814724	49.0059243384385	50.6711690245063	0.101049141809794
"100"	99.2458932767341	98.3401906725764	100.151595880892	0.195381031086553
"100"	100.907914110214	99.9983915561398	101.817436664288	0.19924869088185
"100"	100.076903693474	99.1693010301281	100.98450635682	0.197312263110279
"UP"	0.65783929077615	-0.189977546396548	1.50565612794885	0.125822182967712
"IV"	0.129014480123502	-0.719449997316138	0.977478957563141	0.12677947712306
"SC"	0.506746487732536	-0.341254385137006	1.35474736060208	0.126094875689073
"HW"	0.129014480123502	-0.719449997316138	0.977478957563141	0.12677947712306
"MT"	2.16876732121229	1.32274651959648	3.0147881228281	0.123132404813539
"RS"	0.204560881645308	-0.643810473391565	1.05293223668218	0.126642231004017
"LY"	0.506746487732536	-0.341254385137006	1.35474736060208	0.126094875689073
"NP"	2.99977773795216	2.15471028695225	3.84484518895207	0.121682864463283
"AN"	0.355653684688922	-0.492532027643799	1.20383939702164	0.126368226454863
"SP"	3.52860254860481	2.68412898889815	4.37307610831147	0.1207719138444
"CN"	0.355653684688922	-0.492532027643799	1.20383939702164	0.126368226454863
