"Sample"	"Concentration (ug P/L)"	"LCL"	"UCL"	"SE"
"0"	-0.104175024376189	-5.98328407671874	5.77493402796636	0.962256067015886
"0"	-0.961302048415114	-6.85016800783358	4.92756391100335	0.974199300204604
"5"	5.89571414389629	0.0780024471547076	11.7134258406379	0.883901515422646
"5"	6.40999035831965	0.596972041651259	12.223008674988	0.877659706708817
"10"	12.9241557410155	7.16264736707732	18.6856641149536	0.806347159908282
"10"	12.5813049313999	6.81745581536349	18.3451540474363	0.80970969505419
"25"	22.5239784102515	16.8109982716952	28.2369585488077	0.733508258581739
"25"	23.2096800294826	17.4988973536479	28.9204627053172	0.73005336098968
"50"	48.2377891314192	42.4901396094102	53.9854386534282	0.78617272230347
"50"	47.2092367025725	41.4675673469671	52.9509060581779	0.77732101790731
"100"	97.9511565256769	91.5010709586185	104.401242092735	1.530983780173
"100"	104.122471098757	97.53576983387	110.709172363644	1.64397597419316
"SecondPine Filtered"	8.63852062082086	2.84478684658743	14.4322543950543	0.851587459116316
"SecondPine Unfiltered"	12.9241557410155	7.16264736707732	18.6856641149536	0.806347159908282
"UpperPine Filtered"	6.75284116793522	0.94290127090662	12.5627810649638	0.873544200349695
"UpperPine Unfiltered"	11.2099016929376	5.43627558431234	16.9835278015629	0.823620668728521
"Ives Filtered"	5.21001252466515	-0.614098070369939	11.0341231197002	0.892349194474168
"Ives Unfiltered"	9.15279683524421	3.36326905549796	14.9423246149905	0.845806065773918
"Pony Filtered"	17.0383654564023	11.3016949905448	22.7750359222598	0.769850863657428
"Pony Unfiltered"	49.9520431794971	44.1935912235017	55.7104951354924	0.801937385909936
"Lily Filtered"	7.09569197755079	1.28879002475066	12.9025939303509	0.869465859898556
"Lily Unfiltered"	11.5527525025532	5.78163264138433	17.3238723637221	0.820074965148643
"Mountain Filtered"	3.4957584765873	-2.34505133507068	9.33656828824529	0.9140699460721
"Mountain Unfiltered"	4.86716171504958	-0.960208633519175	10.6945320636183	0.896625583175649
"Rush Filtered"	4.01003469101066	-1.82566038798522	9.84572977000653	0.907465846814217
"Rush Unfiltered"	3.83860928620287	-1.99878072980895	9.67599930221469	0.909659004938227
"Howe Filtered"	2.12435523812502	-3.73053141624597	7.97924189249601	0.932033440549274
"Howe Unfiltered"	5.21001252466515	-0.614098070369939	11.0341231197002	0.892349194474168
"Ann Filtered"	2.12435523812502	-3.73053141624597	7.97924189249601	0.932033440549274
"Ann Unfiltered"	7.26711738235857	1.46171920350351	13.0725155612136	0.867440790892366
"CanyonEpi Filtered"	0.410101190047167	-5.46327083134734	6.28347321144167	0.955173137626487
"CanyonEpi Unfiltered"	2.63863145254837	-3.21090198042446	8.48816488552121	0.925238194652114
"CanyonHypo Filtered"	9.49564764485978	3.70887274245423	15.2824225472653	0.842002867646944
"CanyonHypo Unfiltered"	2.63863145254837	-3.21090198042446	8.48816488552121	0.925238194652114
"CanyonChemo Filtered"	152.978711468976	145.036623525311	160.920799412641	2.58247229629354
"CanyonChemo Unfiltered"	153.492987683399	145.53454178133	161.451433585469	2.59259601839073
