lake,lat,long,area,pH2011,DO2011,DO2012,Temp2011,Temp2012
Ann,46.8715,87.9220,,7.86,7.33,7.22,25.44,27.44
Canyon,46.8334,87.9224,,7.02,7.06,7.24,23.98,23.92
Howe,46.8916,87.9470,,7.78,7.87,7.22,26.15,26.44
Ives,46.8440,87.8483,,8.10,7.92,7.62,25.53,25.41
Lily,46.8475,87.8302,,5.51,6.07,5.70,30.31,26.24
Mountain,46.8692,87.9063,,8.31,7.81,7.93,26.40,26.54
Pony,46.8874,87.9175,,5.39,1.94,7.04,22.74,25.26
Rush,46.8882,87.9067,,8.14,7.78,7.74,25.86,25.69
SecondPine,46.8682,87.8572,,8.09,7.38,7.17,26.19,26.22
UpperPine,46.8624,87.8502,,7.79,6.84,7.12,26.02,26.63
