	Axis_1	Axis_2	Axis_3	Rt	mz
C114	0.915	0.2	-0.467	220.01	337.129
C117	0.964	0.115	-0.345	183.07	321.098
C118	0.903	-0.285	-0.358	189.06	295.082
C119	0.743	0.343	-0.187	189.19	313.132
C120	0.924	0.146	-0.419	190.17	405.192
C121	0.903	0.164	-0.455	195.55	325.129
C122	0.863	0.097	-0.517	193.89	255.123
C123	-0.818	-0.103	0.188	429.09	363.216
C124	0.276	-0.73	0.239	325.08	261.113
C126	-0.875	0.371	0.274	371.16	579.277
C127	-0.888	0.43	0.123	363.17	423.204
C128	-0.925	0.265	0.162	361.66	435.202
C129	-0.925	0.407	0.265	355.9	477.211
C133	-0.201	0.802	0.073	24.11	481.215
C140	-0.875	0.267	0.365	441.5	440.209
C144	0.252	-0.939	0.092	497.79	335.125
C147	-0.123	-0.731	-0.007	530.06	636.458
C148	-0.847	0.512	0.178	298.65	373.128
C150	-0.874	0.444	0.109	272.05	425.144
C151	0.806	0.358	-0.309	220.54	302.142
C152	0.718	0.46	-0.301	219.07	400.158
C153	0.924	-0.024	-0.407	217.81	396.167
C154	0.874	0.137	-0.628	212.18	391.139
C155	0.888	0.195	-0.444	209.6	393.118
C157	0.939	0.043	-0.337	238.01	398.181
C158	0.879	-0.261	-0.333	236.61	297.097
C159	0.779	-0.399	-0.215	228.5	391.134
C160	0.754	-0.012	-0.626	232.15	472.178
C162	-0.888	0.43	0.123	402.25	409.23
C165	-0.874	0.444	0.109	332.71	355.189
C167	-0.753	0.455	0.321	319.18	397.153
C168	-0.899	0.278	0.304	322.36	481.203
C169	-0.701	0.199	0.121	315.34	353.136
C172	-0.701	0.199	0.121	366.81	355.189
C173	-0.701	0.199	0.121	354.71	467.195
C174	-0.874	0.444	0.109	359.99	795.252
C175	-0.701	0.199	0.121	352.24	411.215
C182	0.813	0.336	-0.41	24.03	348.975
C184	-0.37	0.867	0.115	24.17	489.219
C188	0.079	0.778	-0.371	433.49	150.063
C190	-0.842	-0.115	0.503	444.84	445.26
C191	-0.912	-0.237	0.188	469.49	459.227
C192	-0.973	0.018	0.213	456.35	457.226
C198	-0.768	0.142	-0.172	300.98	551.135
C199	-0.976	0.153	0.288	296.95	339.112
C200	-0.813	0.216	-0.037	291.15	395.066
C202	-0.903	0.212	0.067	282.93	425.18
C203	0.891	-0.164	-0.43	220.93	373.13
C204	0.867	0.188	-0.515	218.91	367.139
C205	0.733	0.042	-0.442	203.42	373.232
C206	0.875	0.106	-0.256	204.49	391.141
C207	0.875	0.219	-0.48	187.16	327.108
C208	0.976	-0.018	-0.382	194.71	283.083
C210	0.709	-0.139	-0.588	237.68	451.163
C211	0.855	0.091	-0.467	226.85	451.16
C214	0.709	-0.285	-0.127	232.22	428.151
C216	0.202	-0.718	-0.092	260.99	549.188
C221	-0.874	0.444	0.109	394.14	417.226
C223	-0.733	0.442	-0.03	428.36	711.353
C224	-0.867	-0.03	0.309	416.42	377.196
C226	-0.963	0.067	0.264	414.1	415.212
C228	-0.937	0.356	0.187	344.8	423.203
C231	-0.932	0.306	0.394	338.72	339.158
C233	-0.813	0.216	-0.037	323.94	383.149
C234	-0.957	0.244	0.331	384.49	411.216
C235	-0.937	0.356	0.187	349.29	395.209
C236	-0.813	0.216	-0.037	347.98	453.216
C244	-0.104	0.791	-0.178	24.14	438.199
C246	-0.899	0.278	0.304	433.4	721.349
C248	-0.879	-0.03	0.127	446.29	443.244
C251	-0.83	-0.236	0.055	464.71	373.238
C253	-0.794	-0.333	0.273	485.76	429.262
C254	0.056	-0.857	0.05	489.29	421.233
C256	-0.11	-0.705	0.11	518.51	320.288
C257	-0.058	-0.782	-0.032	521.75	397.294
C261	0.825	0.219	-0.294	176.12	279.089
C265	-0.874	0.444	0.109	296.07	379.137
C266	-0.888	0.43	0.123	293.95	423.165
C268	-0.937	0.356	0.187	292	425.144
C272	-0.246	0.768	0.216	270.71	314.144
C273	-0.841	0.252	0.301	278.01	327.123
C274	0.839	-0.219	-0.103	276.88	383.172
C277	-0.936	0.207	0.134	286.47	355.151
C278	0.806	-0.442	-0.418	221.69	444.186
C279	0.891	0.018	-0.515	220.95	354.129
C280	0.855	0.152	-0.394	221.33	369.117
C283	0.915	-0.152	-0.37	222.81	235.099
C285	0.907	-0.225	-0.294	222.62	433.15
C287	0.791	0.104	-0.546	217.48	368.138
C288	0.894	0.181	-0.45	217.38	381.115
C289	0.857	0.169	-0.338	209.46	495.142
C290	-0.1	-0.757	0.338	203.07	393.208
C291	0.936	0.109	-0.128	187.59	265.071
C293	0.733	0.055	-0.515	192.93	341.124
C294	0.788	0.294	-0.081	241.86	343.154
C296	0.894	-0.213	-0.106	235.27	423.166
C297	0.745	0.248	-0.6	234.14	330.151
C298	0.306	-0.753	0.172	236.13	525.286
C299	0.804	-0.374	-0.399	239.3	405.154
C300	0.719	0.256	-0.113	238.82	351.144
C302	0.758	-0.491	-0.37	226.86	488.166
C303	0.939	0.104	-0.276	230.16	285.113
C305	0.164	-0.701	0.156	262.44	657.366
C306	-0.806	0.491	0.2	263.77	500.204
C307	0.792	-0.055	-0.492	254.99	403.176
C309	0.926	-0.252	-0.472	253.3	377.159
C312	-0.879	-0.067	0.164	403.79	605.278
C313	-0.919	0.356	0.469	388.99	475.232
C317	-0.976	0.153	0.288	425.37	397.236
C318	-0.927	0.152	0.176	417.55	557.276
C319	-0.706	0.399	0.055	412.7	421.224
C324	0.939	0.006	-0.236	344.63	505.276
C326	-0.847	0.317	0.252	334.99	453.186
C328	-0.769	0.084	0.562	335.82	315.123
C329	-0.743	0.123	0.537	338.16	311.125
C330	-0.701	0.199	0.121	339.26	407.17
C334	-0.738	0.41	0.261	321.5	463.195
C335	-0.957	0.206	0.381	320.49	367.151
C336	-0.753	0.455	0.321	319.12	427.205
C337	-0.813	0.216	-0.037	319.53	369.2
C339	-0.937	0.356	0.187	323.37	309.11
C340	-0.753	0.455	0.321	314.71	283.12
C347	-0.785	0.082	0.055	374.43	754.291
C348	0.446	-0.821	0.278	371.33	237.186
C354	-0.701	0.199	0.121	360.2	295.168
C364	0.733	-0.127	-0.697	18.45	474.834
C371	-0.964	0.03	0.273	442.13	615.299
C373	-0.818	0.139	0.091	437.73	652.288
C381	0.325	-0.926	0.117	491.44	301.142
C384	-0.103	-0.855	0.297	529.31	601.474
C387	0.433	-0.847	0.226	157.26	248.163
C390	-0.779	0.509	0.153	298.57	428.189
C397	0.879	-0.273	-0.345	301.18	351.18
C398	-0.886	0.33	0.381	295.1	311.15
C400	-0.86	0.2	0.252	288.64	439.194
C405	-0.875	0.158	0.134	274.59	322.096
C409	-0.701	0.199	0.121	282.42	385.127
C412	-0.813	0.216	-0.037	284.62	383.138
C414	0.927	-0.224	-0.345	220.7	414.154
C415	0.857	0.219	-0.425	220.68	339.108
C416	0.705	0.239	-0.265	218.01	139.039
C417	0.964	0.055	-0.406	218.28	267.123
C418	0.006	-0.886	0.2	215.08	433.282
C419	0.926	0.141	-0.276	213.31	421.15
C420	0.927	0.03	-0.333	214.63	333.136
C421	0.751	-0.164	-0.519	210.08	409.149
C422	0.809	0.018	-0.292	209.36	362.132
C423	0.869	0.231	-0.413	209	361.131
C424	0.794	0.164	-0.661	210.24	369.118
C425	0.903	0.176	-0.515	210.42	305.103
C428	0.815	0.085	-0.255	185.67	436.152
C430	0.925	-0.032	-0.317	201.18	500.184
C431	0.912	0.061	-0.383	190.36	297.098
C432	0.806	0.212	-0.2	195.94	297.097
C436	-0.038	0.769	-0.006	243.97	309.097
C440	0.756	0.006	-0.653	227.58	291.087
C442	0.395	0.723	0.007	257.61	233.081
C444	0.915	-0.176	-0.297	258.05	445.175
C452	0.869	-0.131	-0.532	248.35	435.165
C456	-0.903	-0.176	0.418	400.38	325.178
C461	-0.867	0.152	0.067	405.87	425.231
C462	-0.826	0.109	0.014	405.36	379.212
C463	-0.899	0.433	0.239	390.44	435.235
C465	-0.925	0.369	0.175	397.35	575.253
C466	-0.806	0.152	0.236	397.88	435.233
C467	-0.915	0.248	0.297	395.77	483.234
C474	-0.794	0.212	0.248	427.16	449.252
C475	-0.932	0.106	0.369	427.1	621.274
C476	-0.879	0.079	-0.006	426.96	311.201
C477	-0.758	-0.03	-0.079	419.8	719.306
C479	-0.755	0.264	0.411	415.81	610.277
C483	0.83	-0.394	0.006	346.1	313.178
C484	-0.732	0.044	0.769	346.42	465.212
C489	-0.755	0.018	0.288	329.76	322.17
C490	0.297	-0.745	-0.212	336.13	1004.57
C491	-0.833	0.376	-0.014	335.94	463.195
C497	0.888	-0.328	-0.334	322.18	317.176
C498	0.802	0.353	-0.31	323.41	330.177
C499	0.936	-0.073	-0.103	312.44	287.167
C501	-0.778	0.014	0.157	312.91	425.183
C504	-0.894	0.338	0.206	307.93	425.182
C505	-0.798	0.231	-0.052	374.73	477.211
C507	-0.795	-0.097	0.226	373.63	425.192
C508	-0.873	0.162	0.317	369.61	437.221
C509	-0.89	0.117	0.313	368.25	433.223
C511	-0.855	0.285	0.394	376.72	689.269
C513	-0.744	-0.031	0.632	381.05	362.204
C516	0.709	-0.455	-0.406	364.93	301.18
C517	-0.888	0.43	0.123	366.43	551.229
C522	-0.701	0.199	0.121	358.59	535.223
C525	-0.701	0.199	0.121	359.95	456.216
C528	-0.874	0.485	0.205	351.3	437.218
C548	0.304	-0.802	0.195	579.5	557.444
C551	0.388	-0.769	0.181	573.65	429.319
C553	-0.867	0.103	0.2	448.12	405.226
C560	0.079	-0.745	-0.067	467.82	319.227
C564	-0.818	-0.042	0.2	450.78	415.248
C565	-0.721	-0.394	0.2	477.34	319.226
C566	-0.915	0.297	0.321	474.01	583.327
C569	-0.079	-0.754	0.225	508.57	708.489
C572	-0.31	-0.802	0.237	523.43	424.362
C574	0.701	0.45	-0.467	166.71	223.098
C575	0.036	-0.839	0.389	175.1	305.156
C587	-0.894	0.081	0.319	303.06	425.182
C588	-0.732	0.013	0.069	296.1	281.149
C592	-0.937	0.356	0.187	294.94	367.154
C593	0.924	-0.267	-0.371	289.37	327.156
C594	-0.709	0.442	0.261	291.09	410.183
C598	0.164	-0.701	0.156	269.76	698.443
C599	-0.925	0.369	0.175	269.22	437.143
C600	-0.9	0.25	0.019	270.43	481.168
C610	-0.79	0.34	0.547	279.77	296.137
C611	-0.711	-0.231	0	279.56	498.217
C616	-0.782	0.175	0.588	283.33	270.121
C622	0.792	-0.055	-0.601	221.67	370.152
C623	0.763	-0.094	-0.613	221.68	319.119
C624	0.857	0.081	-0.375	219.6	355.139
C625	0.819	-0.014	-0.533	224.63	435.164
C628	0.791	0.337	-0.337	216.1	388.159
C630	0.794	-0.018	-0.624	207.86	353.124
C631	0.903	-0.103	-0.37	206.8	265.108
C632	0.807	0.325	-0.538	205.76	389.118
C633	0.925	-0.032	-0.317	205.92	339.107
C634	0.948	0.109	-0.371	202.42	381.118
C635	0.758	0.067	-0.103	196.97	361.13
C636	0.164	-0.701	0.156	245.35	569.313
C644	0.912	0.073	-0.444	235.13	225.085
C647	0.736	-0.116	0.049	239.34	394.154
C650	0.855	0.212	-0.309	237.3	195.102
C653	0.806	-0.139	-0.309	228.71	255.123
C654	0.745	-0.03	-0.418	228.45	324.148
C655	0.841	0.178	-0.448	227.68	407.168
C661	-0.791	0.558	0.092	260.59	283.12
C665	0.779	-0.227	-0.215	260.73	447.165
C667	0.127	-0.813	0.231	261.15	463.194
C668	0.794	-0.281	-0.306	262.11	461.179
C669	0.902	-0.215	-0.522	260.33	378.161
C673	-0.886	0.33	0.381	258.3	409.149
C677	0.306	-0.753	0.172	254.22	610.39
C687	0.208	0.701	-0.017	251.95	203.034
C695	-0.825	0.325	0.375	403.72	469.255
C696	-0.942	0.255	0.426	407.65	255.137
C699	-0.875	0.389	0.353	395.71	685.313
C702	-0.701	0.199	0.121	394.64	249.149
C703	-0.766	0.267	0.717	393.74	308.193
C704	-0.799	0.027	-0.096	392.66	333.171
C706	-0.939	0.178	0.423	392.98	407.207
C708	-0.891	0.164	0.03	426.28	459.236
C709	-0.888	0.255	0.292	425.63	389.195
C711	-0.782	-0.382	0.055	426.57	461.257
C715	-0.867	0.321	-0.006	418.76	531.269
C719	-0.907	0.019	0.356	346.8	439.21
C720	-0.937	0.356	0.187	345.69	393.19
C722	-0.879	0.055	0.297	342.7	408.206
C726	-0.813	0.216	-0.037	333.3	338.168
C727	-0.701	0.199	0.121	331.87	333.134
C729	0.976	-0.03	-0.321	336.69	318.177
C733	0.19	-0.767	-0.129	340.55	1048.598
C734	0.952	-0.164	-0.309	340.91	347.185
C737	0.419	-0.717	0.122	340.99	425.31
C747	-0.873	0.252	0.187	317.94	399.175
C751	-0.766	-0.024	0.498	311.76	545.206
C752	-0.798	0.231	-0.052	312.71	449.214
C753	-0.944	0.256	0.456	312.32	458.202
C754	-0.937	0.356	0.187	312.25	395.17
C755	-0.841	0.104	0.558	313.36	409.187
C758	-0.826	0.109	0.014	310.43	472.212
C760	-0.813	0.216	-0.037	308.57	379.137
C769	-0.729	0.036	0.377	383.18	441.225
C770	0.345	-0.758	0.055	378.15	320.193
C771	-0.792	0.539	0.232	377.35	356.196
C772	-0.709	0.139	0.539	378.78	307.19
C773	-0.833	0.401	0.438	379.17	767.337
C774	0.8	-0.238	-0.35	365.23	335.185
C778	0.873	-0.162	-0.407	362.63	331.19
C780	-0.701	0.199	0.121	356.24	704.291
C781	0.83	-0.37	-0.37	354.92	275.165
C784	-0.813	0.216	-0.037	353.51	395.175
C785	0.875	-0.353	-0.286	350.15	285.184
C786	-0.951	0.104	0.374	350.63	433.189
C809	-0.246	0.768	0.216	24.11	483.21
C814	-0.701	0.199	0.121	23.5	352.176
C816	0.394	-0.83	0.042	583.07	645.498
C817	0.374	-0.853	0.018	576.33	473.345
C818	0.207	-0.912	0.061	565.8	341.265
C819	-0.321	-0.758	-0.212	563.5	298.284
C820	0.188	-0.875	0.188	570.18	385.292
C824	-0.867	0.103	0.37	444.44	439.208
C825	-0.903	0.091	0.261	442.33	431.241
C827	-0.936	0.109	0.207	440.15	489.236
C829	-0.912	0.278	0.149	435.92	699.284
C834	-0.915	0.067	0.152	466.06	499.299
C835	-0.718	-0.213	0.136	464.91	385.24
C839	-0.806	-0.079	-0.042	472.81	375.216
C843	0.117	-0.89	-0.104	484.89	365.138
C846	-0.249	-0.754	0.091	552.37	790.582
C847	-0.115	-0.745	0.273	511.74	796.542
C849	-0.128	-0.815	0.274	527.31	513.419
C850	-0.152	-0.782	0.164	532.37	689.523
C852	0.77	0.248	-0.236	173.55	297.098
C859	0.902	-0.055	-0.583	299.39	345.17
C864	-0.731	0.601	-0.058	302.54	365.158
C866	0.757	-0.425	0.131	295.38	347.185
C868	-0.794	0.236	0.685	294.36	323.149
C871	0.742	-0.195	-0.079	293.68	321.17
C883	-0.815	0.48	0.024	267.12	283.12
C884	0.944	-0.138	-0.406	269.51	349.164
C901	0.806	-0.067	-0.006	278.97	357.168
C906	-0.832	-0.019	0.344	278.82	397.151
C907	-0.847	0.512	0.178	276.49	355.144
C910	-0.915	0.285	0.37	282.74	281.146
C913	-0.828	0.522	0.301	281.58	283.12
C922	0.855	0.297	-0.248	221.72	287.092
C925	0.792	-0.055	-0.601	221.97	248.097
C927	0.721	-0.309	-0.564	225.42	375.108
C928	0.914	-0.018	-0.276	225.35	294.102
C929	0.77	-0.103	-0.37	225.68	355.139
C932	0.753	0.186	-0.261	223.29	409.149
C934	0.927	0.03	-0.164	224.18	243.102
C936	0.815	-0.134	-0.371	212.74	339.144
C939	0.948	-0.122	-0.456	212.15	233.082
C941	0.915	0.079	-0.479	207.05	379.139
C942	0.77	0.188	-0.491	180.59	325.091
C944	0.915	0.2	-0.248	201.26	254.108
C946	0.927	0.127	-0.442	200.65	453.134
C947	0.9	0.219	-0.261	203.12	333.137
C948	0.809	0.207	-0.267	203.93	351.107
C950	0.83	0.079	-0.576	192.6	333.101
C951	0.784	-0.043	-0.024	243.39	423.167
C962	0.719	-0.425	-0.006	243.53	361.126
C966	0.808	-0.019	-0.433	233.99	286.114
C970	0.745	-0.079	-0.261	237.34	268.124
C977	0.888	-0.146	-0.602	227.6	347.149
C982	0.806	-0.309	-0.236	232.33	372.164
C983	0.83	0.018	-0.406	231.23	411.165
C989	-0.853	0.055	0.252	265.9	355.086
C990	-0.867	0.358	0.115	265.77	297.148
C991	-0.888	0.43	0.123	265.48	481.169
C996	0.467	-0.709	-0.224	261.55	444.185
C999	0.794	-0.139	0.079	263.19	399.143
C1008	0.176	-0.709	-0.248	258.39	442.171
C1013	-0.455	0.758	-0.042	255.87	267.125
C1025	0.952	-0.152	-0.418	249.01	367.178
C1026	-0.937	0.356	0.187	401.54	369.206
C1028	-0.879	0.261	0.333	399.93	394.177
C1035	-0.701	0.199	0.121	397.74	555.202
C1038	-0.718	-0.045	0.511	396.59	426.202
C1040	-0.758	-0.297	0.467	423.41	770.275
C1041	-0.939	0.212	0.139	421.67	461.175
C1048	-0.903	-0.067	0.285	426.88	409.222
C1053	0.915	-0.273	-0.285	416.87	499.269
C1054	-0.743	0.162	0.627	417.74	379.212
C1055	-0.879	0.067	0.6	416.53	417.227
C1056	-0.758	-0.055	0.115	415.1	335.186
C1057	-0.842	0.297	0.139	412.02	325.184
C1059	-0.794	0.491	-0.03	409.54	475.232
C1060	-0.86	0.394	0.446	408.2	383.222
C1061	-0.903	-0.164	0.236	408.12	305.212
C1070	-0.723	0.529	0.395	343.09	320.192
C1073	0.802	-0.061	-0.176	330.42	277.18
C1074	0.804	-0.239	-0.19	329.55	317.193
C1078	-0.748	0.243	0.669	332.76	287.092
C1079	-0.753	0.455	0.321	332.69	253.141
C1084	-0.808	-0.097	0.123	333.4	407.207
C1087	-0.701	0.199	0.121	336.44	320.191
C1088	-0.798	0.231	-0.052	336.72	592.224
C1089	-0.701	0.199	0.121	336.07	293.141
C1090	-0.902	-0.178	0.239	337.45	312.132
C1093	-0.705	-0.024	0.511	339.68	335.144
C1098	-0.932	0.094	0.394	339.54	381.155
C1102	-0.162	0.86	0.187	325.13	235.099
C1113	-0.723	0.529	0.395	321.54	377.159
C1114	-0.753	0.455	0.321	320.89	455.197
C1115	-0.841	0.104	0.043	318.66	594.259
C1119	-0.723	0.529	0.395	323.24	193.089
C1122	-0.758	0.055	-0.014	322.4	423.199
C1123	0.855	-0.358	-0.152	314.16	267.141
C1125	0.839	-0.328	-0.298	317.43	305.175
C1132	0.869	-0.3	-0.444	312.62	333.169
C1136	-0.874	0.485	0.205	310.56	338.13
C1140	-0.818	0.467	0.467	306.86	451.2
C1142	-0.794	0.03	0.042	373.57	401.194
C1144	-0.794	0.067	0.394	374.89	362.204
C1145	-0.753	0.157	-0.186	370.54	685.295
C1148	-0.721	-0.297	0.115	373.44	748.308
C1154	-0.794	-0.079	0.176	382.2	381.192
C1155	-0.767	-0.031	0.485	376.77	351.217
C1159	0.906	0.097	-0.413	381.09	349.2
C1160	-0.723	0.529	0.395	364.41	325.178
C1161	-0.758	0.297	-0.006	364.72	321.17
C1162	-0.874	0.485	0.205	364.28	307.154
C1165	-0.175	-0.795	0.071	366.81	1149.663
C1167	-0.753	0.455	0.321	365.66	801.216
C1168	-0.753	0.455	0.321	367.32	453.217
C1173	-0.785	0.082	0.055	354.96	525.162
C1174	-0.813	0.216	-0.037	354.01	486.232
C1176	-0.701	0.199	0.121	358.81	407.207
C1178	-0.757	0.582	0.225	352.87	441.226
C1181	-0.701	0.199	0.121	350.86	267.103
C1182	0.472	-0.756	0.097	349.18	1135.648
C1199	0.738	-0.031	-0.525	20.33	461.802
C1208	0.35	-0.767	0.178	585.75	732.546
C1213	-0.818	-0.212	0.042	444.78	577.215
C1215	-0.779	-0.239	0.301	443.47	327.196
C1216	-0.842	0.382	0.248	440.34	559.309
C1218	-0.83	-0.091	0.345	437.5	403.245
C1221	0.152	-0.915	0.224	464.67	123.116
C1225	0.079	-0.745	0.018	466.14	395.364
C1232	0.43	-0.782	0.164	453.14	147.117
C1233	-0.913	0.188	0.056	454.76	399.252
C1234	-0.818	-0.03	0.552	453.69	389.231
C1236	-0.842	0.236	0.127	478.88	375.253
C1240	-0.745	-0.152	-0.055	472.45	403.175
C1244	0.498	-0.782	0.097	487.44	790.59
C1246	0.321	-0.723	0.231	494.13	325.206
C1247	-0.164	-0.802	0.152	548.79	614.483
C1250	-0.176	-0.758	0.115	505.73	620.437
C1251	-0.103	-0.709	0.139	503.26	576.411
C1252	-0.881	-0.17	0.073	504.45	468.391
C1259	0.756	0.485	-0.381	170.96	255.09
C1260	0.855	0.164	-0.382	176.29	333.099
C1262	-0.701	0.199	0.121	298.36	393.156
C1267	-0.7	0.063	0.313	299.67	495.186
C1275	-0.833	0.567	0.259	301.05	255.124
C1280	0.766	0.28	-0.006	305.88	351.18
C1301	-0.707	0.256	0.219	303.25	302.145
C1302	0.84	0.116	-0.191	302.58	347.185
C1304	0.788	0	0.125	301.31	315.16
C1310	0.899	-0.123	-0.343	298	317.175
C1313	-0.701	0.199	0.121	295.97	285.077
C1315	-0.718	0.19	-0.264	296.07	353.159
C1317	-0.802	0.365	0.036	297.08	724.431
C1326	0.828	-0.325	0.104	294.46	221.154
C1332	0.723	-0.535	-0.012	288.93	335.185
C1336	-0.709	0.103	-0.067	289.52	306.14
C1337	-0.907	-0.031	0.319	288.94	409.149
C1343	-0.778	0.014	0.157	291.4	353.16
C1344	-0.847	0.265	0.472	290.82	310.136
C1346	-0.799	0.082	-0.055	291.29	349.127
C1359	0.806	-0.503	-0.127	267.81	437.179
C1361	-0.903	0.236	0.394	268.04	351.144
C1365	0.853	-0.018	-0.141	270.13	259.061
C1380	-0.723	0.529	0.395	274.82	197.119
C1384	-0.345	0.77	0.212	273.34	399.146
C1385	-0.742	0.387	0.595	274.01	269.081
C1386	0.701	0.45	-0.467	275.39	359.148
C1405	-0.079	-0.721	0.164	278.9	388.181
C1409	0.306	-0.753	0.172	276.97	741.466
C1412	-0.919	0.131	0.244	277.43	321.135
C1419	-0.778	0.188	0.322	282.78	322.136
C1422	-0.701	0.199	0.121	281.98	207.138
C1438	-0.721	-0.03	0.248	285.25	469.179
C1440	-0.826	0.109	0.014	284.15	381.154
C1442	0.957	-0.1	-0.419	286.96	334.172
C1443	-0.768	0.142	-0.172	286.96	341.127
C1455	0.5	0.738	-0.172	218.08	437.145
C1456	0.83	-0.055	-0.539	218.44	395.134
C1459	0.709	0.345	-0.552	224.49	421.15
C1467	0.743	0.304	0.058	216.84	384.16
C1470	0.912	-0.158	-0.274	213.29	354.157
C1471	0.804	0.166	-0.399	212	397.148
C1472	0.136	0.873	-0.226	213.58	254.108
C1473	0.758	0.406	-0.055	213.73	255.087
C1475	0.721	-0.43	-0.164	214.91	365.124
C1477	0.952	0.079	-0.333	211.09	287.093
C1485	0.742	0.399	-0.264	207.88	359.116
C1487	0.875	0.195	-0.067	206.01	295.178
C1488	0.798	0.306	-0.35	200.12	320.118
C1490	0.888	-0.122	-0.012	205.3	350.129
C1492	0.913	0.206	-0.331	190.67	281.103
C1493	0.927	-0.042	-0.43	196.24	283.119
C1494	0.79	0.146	-0.699	195.6	367.139
C1497	0.813	0.336	-0.41	242.98	388.155
C1500	0.769	-0.136	-0.278	244.49	287.128
C1507	0.5	0.738	-0.172	244.13	296.12
C1509	0.763	-0.306	-0.156	245.04	449.146
C1515	0.123	0.743	0.278	242.71	192.108
C1524	0.718	-0.006	-0.149	235.83	259.062
C1525	0.772	0.134	-0.146	235.12	334.135
C1536	0.796	0.274	-0.353	239.47	299.092
C1537	0.806	-0.027	-0.437	239.83	439.16
C1540	0.753	0.186	-0.261	238.85	436.164
C1541	0.5	0.738	-0.172	237.99	235.061
C1559	0.719	0.319	-0.15	229.42	323.148
C1575	-0.758	0.503	0.079	261.09	327.123
C1579	0.821	0.433	-0.369	260.55	259.133
C1580	0.785	-0.007	-0.109	261.34	351.106
C1585	-0.297	-0.721	-0.139	262.66	465.176
C1588	-0.794	0.43	0.067	262.52	311.114
C1589	0.142	-0.798	0.112	262.05	165.056
C1601	-0.201	0.798	0.231	257.78	279.087
C1602	0.821	-0.006	-0.149	258.02	479.161
C1608	0.813	0.219	-0.044	254.02	338.166
C1609	0.879	-0.37	-0.236	253.07	293.142
C1613	-0.806	0.103	0.418	256.81	297.148
C1614	0.912	-0.071	-0.304	256.28	417.154
C1624	-0.292	0.9	-0.055	250.09	324.134
C1634	0.798	0.291	-0.395	252.35	351.106
C1635	0.841	0.092	-0.117	246.25	269.083
C1642	0.208	0.701	-0.017	250.23	252.129
C1654	-0.891	0.139	0.2	400.94	347.185
C1656	-0.77	0.224	0.261	400.43	249.185
