	Axis_1	Axis_2	Axis_3	Rt	mz
C3	0.079	0.855	0.006	24.12	432.191
C4	0.717	0.122	-0.517	229.63	439.159
C5	-0.748	-0.231	0.122	541.35	1206.792
C7	-0.178	-0.791	0.092	391.86	277.18
C8	-0.813	0.216	-0.037	343.48	481.221
C9	0.875	0.231	-0.201	198.68	352.144
C14	0.815	0.243	-0.553	207.95	437.144
C15	0.948	0.097	-0.31	199.5	411.131
C16	0.936	0.122	-0.347	203.72	319.118
C17	-0.813	0.216	-0.037	329.02	479.188
C22	-0.874	0.444	0.109	302.27	437.18
C23	0.927	0.018	-0.37	210.47	435.13
C24	0.948	0.097	-0.31	201.61	393.118
C25	0.721	0.115	-0.309	233.22	449.15
C28	-0.813	0.216	-0.037	326.87	453.173
C29	-0.701	0.199	0.121	313.01	393.152
C33	-0.944	0.219	0.369	300.5	427.172
C34	0.821	0.433	-0.369	216.14	411.127
C35	0.915	-0.055	-0.418	213.29	423.127
C36	0.951	-0.153	-0.227	214.39	425.145
C37	0.891	-0.164	-0.564	208.02	380.14
C38	0.827	-0.109	-0.152	184.69	323.113
C39	0.973	0	-0.359	200.71	410.137
C40	0.888	0.231	-0.274	197.04	339.108
C41	-0.874	0.444	0.109	372.42	437.181
C43	0.725	-0.181	-0.588	18.46	1046.677
C45	0.316	-0.875	0.219	453.55	266.22
C47	0.792	-0.055	-0.492	219.68	419.133
C48	0.891	-0.297	-0.345	223.49	425.146
C49	0.927	-0.042	-0.43	198.15	379.138
C50	0.877	-0.018	-0.448	193.3	353.124
C54	-0.939	0.115	0.212	412.95	627.306
C55	-0.888	0.43	0.123	321.18	498.163
C56	-0.914	0.239	0.485	380.16	547.217
C61	-0.888	0.43	0.123	289.97	453.175
C62	0.927	-0.127	-0.394	211.77	381.118
C63	0.867	0.115	-0.503	199.98	367.103
C66	-0.847	-0.084	0.2	346.74	593.217
C67	-0.888	0.43	0.123	331.07	439.2
C68	-0.874	0.444	0.109	325.38	479.226
C69	-0.855	0.309	0.297	386.6	843.292
C70	-0.957	0.244	0.331	383.13	507.258
C76	-0.025	0.794	-0.056	24.16	486.209
C78	0.006	-0.721	-0.006	447.3	333.205
C79	-0.753	0.455	0.321	441.26	353.209
C80	-0.954	0.073	0.28	439.47	621.251
C83	0.818	0.139	-0.552	220.48	341.124
C84	0.927	-0.152	-0.37	223.44	350.131
C85	0.855	0.212	-0.527	213.3	347.114
C86	0.891	0.152	-0.164	206.79	400.158
C87	0.879	-0.006	-0.564	202.24	353.124
C88	0.782	0.263	-0.575	191.96	375.111
C89	0.915	-0.079	-0.455	244.38	451.162
C90	0.903	0.03	-0.394	227.87	423.165
C92	-0.925	0.265	0.162	399.37	763.353
C95	-0.912	0.278	0.149	385.77	479.244
C96	-0.821	-0.085	0.182	377.85	556.272
C98	-0.957	0.144	0.319	357.16	541.237
C103	-0.2	0.891	-0.103	24.19	506.225
C108	-0.855	0.091	0.006	458.31	387.252
C109	0.261	-0.867	-0.2	512.32	310.238
C112	-0.833	0.316	-0.079	305.38	348.153
C113	-0.847	0.512	0.178	303.98	467.191
