Otu00002 Otu00003 Otu00004 Otu00005 Otu00006 Otu00009 Otu00010 Otu00011 Otu00012 Otu00013 Otu00014 Otu00015 Otu00016 Otu00017 Otu00019 Otu00022 Otu00023 Otu00024 Otu00025 Otu00026 Otu00027 Otu00028 Otu00030 Otu00032 Otu00034 Otu00036 Otu00037 Otu00038 Otu00039 Otu00040 Otu00041 Otu00042 Otu00043 Otu00044 Otu00045 Otu00046 Otu00048 Otu00049 Otu00050 Otu00052 Otu00053 Otu00054 Otu00055 Otu00056 Otu00057 Otu00058 Otu00059 Otu00060 Otu00062 Otu00063 Otu00064 Otu00066 Otu00067 Otu00068 Otu00069 Otu00070 Otu00072 Otu00073 Otu00074 Otu00075 Otu00076 Otu00078 Otu00079 Otu00080 Otu00081 Otu00082 Otu00083 Otu00084 Otu00085 Otu00087 Otu00088 Otu00089 Otu00090 Otu00091 Otu00092 Otu00093 Otu00094 Otu00097 Otu00100 Otu00101 Otu00102 Otu00103 Otu00107 Otu00108 Otu00109 Otu00110 Otu00111 Otu00113 Otu00114 Otu00115 Otu00116 Otu00117 Otu00118 Otu00120 Otu00121 Otu00122 Otu00123 Otu00124 Otu00127 Otu00128 Otu00129 Otu00132 Otu00133 Otu00134 Otu00136 Otu00138 Otu00139 Otu00140 Otu00147 Otu00150 Otu00155 Otu00156 Otu00158 Otu00161 Otu00162 Otu00163 Otu00164 Otu00165 Otu00166 Otu00167 Otu00168 Otu00169 Otu00171 Otu00172 Otu00175 Otu00181 Otu00182 Otu00188 Otu00195 Otu00198 Otu00202 Otu00205 Otu00207 Otu00211 Otu00213 Otu00218 Otu00219 Otu00220 Otu00223 Otu00225 Otu00242 Otu00246 Otu00248 Otu00251 Otu00254 Otu00256 Otu00258 Otu00262 Otu00265 Otu00273 Otu00274 Otu00290 Otu00291 Otu00292 Otu00304 Otu00324 Otu00329 Otu00352
Ann 0.0523395522003238 0.0214205418561719 0.0140053422439487 0.126955642874086 0.00953972133700484 0.00190794426740097 0.00454812660499366 0.00588884419830245 0.00292895228076689 0.0104885368645772 0.0205542320266493 0.0178521704155193 0.0501015851407238 0.00542474964677248 3.09396367686643e-05 0 0.0276394088466735 0.00608479523117065 0 0.00109320049915947 0.000763177706960387 0.0107876200200076 0.00171199323453276 0.0136959458762621 0.00213483493703784 0.0397574332477337 0.00246485772923693 0.012994647442839 0.00706455039551169 0.00688922578715593 0.000721924857935501 0.0097150459453606 0.00540412322226004 0.00704392397099925 0.000113445334818436 0.0023101595453936 0.000165011396099543 0.0241019770427895 0.000299083155430422 0.000546600249579737 0.00176355929581387 0 0.00152635541392077 0.000226890669636872 0.00833307550302693 0.000814743768241494 0.00106226086239081 0.000959128739828594 0.00513597970359828 9.2818910305993e-05 0 0.00105194765013459 0.00172230644678898 0.00105194765013459 1.03132122562214e-05 0.00941596278993018 0.00561038746738447 6.18792735373287e-05 0.000381588853480193 0.0155523240823819 0.00774522240442231 0.0103647783175026 8.25056980497716e-05 0 0 0.000360962428967751 0.0020213896022194 0.00289801264399823 0.0137165723007745 0.000123758547074657 0.000278456730917979 0 0.00749770531027299 0.00279488052143601 4.12528490248858e-05 0 0.000103132122562214 0.000175324608355765 0.00686859936264348 0.00135103080556501 0 0.00636325196208863 0.00232047275764983 0.000165011396099543 0.00706455039551169 0.00345492610583418 0.00260924270082403 0.000195951032868207 0.00555882140610336 2.06264245124429e-05 0.000113445334818436 0.00122727225849035 0 0.000134071759330879 0.00518754576487939 1.03132122562214e-05 0.00204201602673185 0.00467188515206831 0 0.000185637820611986 0 0.0024545445169807 0.000598166310860844 0.0134174891453441 0.00189763105514475 1.03132122562214e-05 0.00264018233759269 0.000123758547074657 0.00676546724008127 0 0 0.000845683405010159 5.15660612811072e-05 0.00396027350638904 8.25056980497716e-05 0.0047131380010932 0.00573414601445912 0.00917875890803709 0.0313212256221445 0.00299083155430422 0 0 4.12528490248858e-05 0.00366119035095861 0.00898280787516888 0.00463063230304343 0.00701298433423058 1.03132122562214e-05 0.00204201602673185 0.00190794426740097 0.000103132122562214 0 0.00213483493703784 4.12528490248858e-05 0 0 0.000938502315316152 0.000443468127017522 1.03132122562214e-05 0.000134071759330879 0 0.0116539298495302 0 0.00734300712642967 0 0 0.0001443849715871 1.03132122562214e-05 0.000268143518661758 0.000123758547074657 8.25056980497716e-05 6.18792735373287e-05 1.03132122562214e-05 0 0.000412528490248858 0.000670358796654394 0.00718830894258635 0
Canyon 0.0938816850687107 0.0442524351968789 0.0226951596163705 0.0801895639778425 0.0121666062296025 0.00576444550035637 0.0220824528278294 0.0254460880547185 8.75295412201618e-05 0.0299100946569467 0.0358871119002663 0.0284971177772498 0.0693359008665425 0.00732747302214497 0.00175059082440324 0.00258837357608193 0.0186187838395458 3.75126605229265e-05 0 0.00287597064009103 0.0004251434859265 0.0273342253010391 0.00517674715216386 0.00989083815787828 0.00457654458379703 0.00600202568366824 0.00415140109787053 0.000412639265752191 0.00328860990584322 3.75126605229265e-05 0.000287597064009103 0.00676478311430108 0.00666474935290661 0.00401385467595313 0.00288847486026534 0.00293849174096257 2.50084403486177e-05 0.00126292623760519 0.00101284183411902 0.00643967338976905 0.00695234641691571 0 0.00266339889712778 5.00168806972353e-05 0.00332612256636615 0 1.25042201743088e-05 0.000262588623660485 0.00468908256536581 0.00503920073024646 0 0.000487664586798044 0.00917809760794268 0.0094907031123004 2.50084403486177e-05 0.00280094531904518 0.000162554862266015 3.75126605229265e-05 0.00191314568666925 0.00355119852950371 0.00611456366523702 0.000187563302614632 1.25042201743088e-05 0 2.50084403486177e-05 0.000462656146449427 2.50084403486177e-05 7.5025321045853e-05 0.000787765870981456 1.25042201743088e-05 0.000112537981568779 0 0.000112537981568779 0.00543933577582434 0.000112537981568779 0 1.25042201743088e-05 0.000675227889412677 0 0 0 0.0045265277030998 0.000875295412201618 0.000262588623660485 0.00447651082240256 0.000300101284183412 0.00355119852950371 0.000512673027146662 0.0036762407312468 0.000250084403486177 0.00108786715516487 0.00238830605329299 0 0.00111287559551349 6.25211008715441e-05 0 0.000600202568366824 0.00365123229089818 0 0.00527678091355833 0.00472659522588874 0.00493916696885199 0 0.0065146987108149 0 0.000125042201743088 0.00171307816388031 0.0369374663949083 0.00391382091455866 0 5.00168806972353e-05 0.000850286971853 0.000112537981568779 0.00063771522888975 3.75126605229265e-05 0 0.00546434421617296 3.75126605229265e-05 0 0.00217573431032974 0.00648969027046628 1.25042201743088e-05 0.00075025321045853 0.000462656146449427 0.00573943706000775 3.75126605229265e-05 0.00021257174296325 0 0 0.000475160366623736 0.00223825541120128 0 0.000150050642091706 0 3.75126605229265e-05 3.75126605229265e-05 0.000500168806972353 0.0104785365060708 0.00488915008815475 0 0 0 1.25042201743088e-05 0 0 0.0117164543033274 0 0 3.75126605229265e-05 0.00341365210758631 0 5.00168806972353e-05 0 0.000150050642091706 0.000225075963137559 0.00110037137533918 0 3.75126605229265e-05
Howe 0.0974572309993456 0.0293072824156306 0.0355083979932068 0.0180891838833318 0.0161883394098034 0.00264871770901499 0.00412888348758219 0.0169985354149138 4.67420772179116e-05 0.00987815898538531 0.0129787167741734 0.00966002929170172 0.0490480196939952 0.00824218628275841 4.67420772179116e-05 1.55806924059705e-05 0.020083512511296 0.00568695272817924 0 0.00409772210277025 0.00327194540525381 0.0246642360786513 0.00215013555202393 0.0197874793555826 0.00624785765479418 0.0116855193044779 0.00297591224954037 0.0187279922719766 0.00344333302171949 0.0043314324888598 0.000171387616465676 0.0130254588513914 0.00777476551057929 0.00412888348758219 3.1161384811941e-05 0.0022747810912717 0 0.0186656695023527 0.00113739054563585 0.000249291078495528 0.00196316724315229 0 0.00188526378112243 9.34841544358231e-05 0.00232152316848961 0.005811598267427 1.55806924059705e-05 0.00649714873328971 0.00060764700383285 0.00176061824187467 0.000716711850674644 0.000498582156991057 0.00101274500638808 0.00090368015954629 0 0.00447165872051354 0.00574927549780312 0 0.000981583621576143 0.00447165872051354 0.00124645539247764 0.00814870212832258 0 0 0 0.0182294101149855 6.23227696238821e-05 0.00313171917360007 0.0045963042597613 0 0.000529743541802998 0 0.00146458508616123 0.0021657162444299 0.000389517310149263 0 0.0455423639026518 0.00454956218254339 0.0250381726963946 3.1161384811941e-05 0 0.00423794833442398 0.00204107070518214 0.000186968308871646 0.00110622916082391 0.00141784300894332 3.1161384811941e-05 0 0.00467420772179116 0.00969119067651367 7.79034620298526e-05 0.00267987909382693 0 7.79034620298526e-05 0.00271104047863887 0.000186968308871646 3.1161384811941e-05 0.00437817456607772 0 0.000218129693683587 0.00708921504471659 0.0024305880153314 0.00344333302171949 0.00260197563179708 1.55806924059705e-05 0 0.00763453927892556 0 0.0012152940076657 0.0155495310211586 0 0.000997164313982113 0.000405098002555234 0.00127761677728958 0.000794615312704497 0.00221245832164781 0.00359913994577919 0.00445607802810757 0 0.00397307656352248 0 0 0.00828892835997632 0.00588950172945686 0.00300707363435231 0.0020099093203702 7.79034620298526e-05 0 0.00517278987878221 0.00210339347480602 0.000342775232931351 0 0.00691782742825091 0 0.00518837057118818 0 0.0032252033280359 4.67420772179116e-05 6.23227696238821e-05 0.00310055778878813 0 3.1161384811941e-05 0 0.00331868748247172 0.00029603315571344 4.67420772179116e-05 0.00813312143591661 0.000623227696238821 0.000358355925337322 0.000218129693683587 0.00210339347480602 0.00669969773456732 4.67420772179116e-05 0 0.000218129693683587 0.0014801657785672 0.00303823501916425 0
Ives 0.0988686960025948 0.0440235499945941 0.0688611277656009 0.0103104942943356 0.0307742208156004 0.0103498098111872 0.00524862149969039 0.022979919599768 1.96577584258067e-05 0.0307250764195359 0.0157065489822196 0.00904256887587108 0.044642769385007 0.00224098446054196 8.84599129161302e-05 9.82887921290335e-06 0.00542554132552265 0.0331134940682714 0 0.00215252454762583 0.000353839651664521 0.0256140592288261 0.00595630080301943 0.0055631456345033 0.017691982583226 0.0156082601900905 0.00239824652794842 0.00684089993218073 0.00287003273016778 0.00576955209797427 0.0116472218672905 0.00402984047729037 0.0178099291337809 0.00108117671341937 0.00119912326397421 0.00180851377517422 0.000461957323006458 0.000530759477496781 0.00288969048859359 0.00163159394934196 0.0055631456345033 8.84599129161302e-05 0.0112344089403485 0.00217218230605164 3.93155168516134e-05 0.000137604308980647 0.00751909259787106 0.00620202278334202 0.00688021544903235 0.015254420538426 0.00285037497174197 0.000402984047729037 0.00298797928072262 0.00111066335105808 0 7.86310337032268e-05 0.000688021544903235 0 0.00243756204480003 0.00388240728909682 0.000432470685367748 0.00148416076114841 0.000137604308980647 0 0 9.82887921290335e-05 0.000245721980322584 0.00188714480887744 0.00138587196901937 0.0122762701369163 9.82887921290335e-05 6.88021544903235e-05 0.0108019382549808 0.000245721980322584 0 0.000127775429767744 0.00653620467658073 0.00229995773581938 0.00020640646347097 0.00751909259787106 0 0.00211320903077422 0.00470803314298071 0.000353839651664521 0.000589732752774201 0.00412812926941941 2.94866376387101e-05 2.94866376387101e-05 0.000697850424116138 0.0138882063278324 0 0.0011598077471226 9.82887921290335e-06 0.00023589310110968 0.000746994820180655 0.000579903873561298 0.000412812926941941 9.82887921290335e-05 0.00014743318819355 0.000491443960645168 0.00170039610383228 0.000108117671341937 0.000226064221896777 0 0.0147334899401421 0 0.000943572404438722 0 0.00454094219636135 1.96577584258067e-05 0 0.00242773316558713 0.00639860036760008 0.0103792964488259 0.000992716800503239 0.000137604308980647 0.00150381851957421 0 9.82887921290335e-06 0.00276191505882584 0 0 0.00623150942098073 0 4.91443960645168e-05 0.00314524134812907 0.0043935090081678 3.93155168516134e-05 0.00421658918233554 0.00274225730040004 0.000314524134812907 9.82887921290335e-06 0.00219184006447745 0.00402984047729037 0.000658534907264525 9.82887921290335e-06 0.00529776589575491 0.00318455686498069 0.000796139216245172 6.88021544903235e-05 0 0 0 9.82887921290335e-05 0.000167090946619357 0.000393155168516134 9.82887921290335e-06 0 0.0100942589516517 0.00576955209797427 0.000226064221896777 9.82887921290335e-06 0 0 5.89732752774201e-05 0.000216235342683874 0 0
Lily 0.0369139095698796 0.054292577404414 8.62629560324349e-05 0.0104046396199121 1.9906836007485e-05 0.00181815768868363 0.00749160595081684 0.0124484081166806 0.111617629493968 2.654244800998e-05 0.00613130549030537 0.00758450451885177 0.000510942124192114 0.00398136720149699 3.31780600124749e-05 0.0454871202771032 0.00365622221337474 3.31780600124749e-05 0.0432840970922748 0.0496211065546575 0.0739273533197967 0.00195086992873353 3.31780600124749e-05 1.9906836007485e-05 0.00102851986038672 2.654244800998e-05 0 3.31780600124749e-05 0.00738543615877692 1.9906836007485e-05 1.9906836007485e-05 0.00201722604875848 2.654244800998e-05 0.0347307932210588 0.0010550623083967 2.654244800998e-05 0.00023888203208982 2.654244800998e-05 0.00301920346113522 0.0163501479741477 0.00149964831256387 6.63561200249499e-06 0.00175843718066117 2.654244800998e-05 6.63561200249499e-06 0 6.63561200249499e-06 0 6.63561200249499e-06 1.9906836007485e-05 0 0.00619102599832783 0.00793619195498401 1.9906836007485e-05 0 0.00021233958407984 3.98136720149699e-05 0.00947565393956285 1.9906836007485e-05 0.00189778503271357 0.000802909052301894 0 2.654244800998e-05 0.0417114570476835 0.0242929755411342 0 0.00018579713606986 0 1.9906836007485e-05 2.654244800998e-05 0 0.00201722604875848 0.00187787819670608 0 0.000364958660137224 0.000484399676182134 1.327122400499e-05 2.654244800998e-05 0 0 0.0131716898249526 0.00161245371660628 0.00010616979203992 0 0.00100861302437924 6.63561200249499e-06 0.00270069408501546 6.63561200249499e-06 0 7.96273440299399e-05 0.00816843837507133 0 0 0 6.63561200249499e-06 2.654244800998e-05 0.000464492840174649 0 0 0.0175511937465992 0 5.97205080224549e-05 0 0 0.000550755796207084 0.00193096309272604 1.327122400499e-05 0 0 0 0 0.00110151159241417 0 0.00167880983663123 0 0 2.654244800998e-05 6.63561200249499e-06 2.654244800998e-05 7.29917320274449e-05 0.0105572586959695 6.63561200249499e-06 0.000510942124192114 6.63561200249499e-06 5.30848960199599e-05 0.000922350068346804 0.000139347852052395 6.63561200249499e-06 0.00031850937611976 0.00019906836007485 0 0.0132115034969675 3.31780600124749e-05 1.9906836007485e-05 0 0.00923677190747303 1.327122400499e-05 6.63561200249499e-06 0 0 0.0109023105200993 6.63561200249499e-06 0.0110217515361442 6.63561200249499e-06 0 0 1.327122400499e-05 6.63561200249499e-06 0.000530848960199599 0 0 0 0 0 1.9906836007485e-05 0 6.63561200249499e-06 0
Mountain 0.078012647911444 0.0250275963810054 0.0301857984380964 0.0688619974621646 0.0132153136702671 0.00659218222896227 0.00475586229663788 0.00282669472728586 1.0316404114182e-05 0.0977479289818741 0.0534802389279193 0.0465063497467323 0.0406878978263337 0.0028576439396284 0 0 0.00165062465826911 0.0309388959384317 0 0.0114718413749703 1.0316404114182e-05 0.00958393942207504 0.00131018332250111 0.000330124931653823 0.00948077538093322 0.00607636202325317 0.00174347229529675 0.00431225691972806 0.00281637832317168 0.0198074958992294 0.00404403041275933 0.000278542911082913 0.00836660373660157 0.000330124931653823 0.000247593698740367 0.00174347229529675 0.000288859315197095 0.000144429657598547 0.00854198260654266 0.0107909587034343 0.00232119092569094 0 0.00102132400730401 7.22148287992737e-05 0.055956175915323 0.000134113253484365 0.00115543726078838 0.00231087452157676 0.00295049157665604 0.00253783541208876 0.000144429657598547 0.000165062465826911 0.000154746061712729 0.00106258962376074 8.25312329134557e-05 1.0316404114182e-05 0.00112448804844583 0 0.00094910917850474 0.000691199075650191 0.00052613660982328 0.00487965914600807 0 0 9.28476370276376e-05 0.000536453013937462 0.000711831883878555 8.25312329134557e-05 0.00632395572199354 0.000660249863307645 0.000876894349705467 0 0.012586013019302 0.000185695274055275 0 0 0.020127304426769 0.000216644486397821 0.000433288972795642 0.0047455458925237 0 0.00179505431586766 4.12656164567278e-05 0.0030330228095695 0.000123796849370184 0.000649933459193464 0.000268226506968731 0 0.0010316404114182 0.00300207359722695 0.000299175719311277 0 0 0.000402339760453096 0.00226960890512003 0.00540579575583135 0.000165062465826911 0.00149587859655638 0.00806742801729029 0 1.0316404114182e-05 0.000299175719311277 0.000216644486397821 0 0 1.0316404114182e-05 0.0115956382243405 1.0316404114182e-05 0.00102132400730401 1.0316404114182e-05 1.0316404114182e-05 0.00473522948840952 0.00010316404114182 0.00246562058328949 5.15820205709098e-05 0 0 1.0316404114182e-05 0 1.0316404114182e-05 0 0 0.00298144078899859 0.000464238185138188 0.000226960890512003 0.00324966729596732 8.25312329134557e-05 0.000144429657598547 0.00145461298009966 0.000257910102854549 0 0 0.000918159966162195 0.00573592068748517 0.00239340575449022 0 0.000598351438622554 0 0.00585971753685535 0 0 0 0 0.00108322243198911 0 0 0.000350757739882187 0 0.000350757739882187 0.000299175719311277 0.00138239815130038 1.0316404114182e-05 0 0 0.00798489678437684 0.00304333921368368 0.00143398017187129 0.0105743142170365
Pony 0.0985693196808845 0.0357198944657328 0.00497832778440857 0.000706702682329292 0.00223003957535021 0 0.0141026446384823 0.0179816571392675 0.0205964570638859 4.71135121552861e-05 7.85225202588102e-05 0.0135529869966706 3.14090081035241e-05 0.00818989886299391 0.0786245995351467 0 0.000942270243105723 1.5704504051762e-05 0.000471135121552861 0.00271687920095483 0.0633755261008857 0 0.00781299076575162 7.06702682329292e-05 2.35567560776431e-05 3.92612601294051e-05 1.5704504051762e-05 0.000102079276336453 0.00559865569445317 3.92612601294051e-05 1.5704504051762e-05 0.000298385576983479 3.14090081035241e-05 0.00610905207613544 0.0201410264463848 1.5704504051762e-05 0.0108753690558452 2.35567560776431e-05 0.00124850807211508 0.00302311702996419 0.00499403228846033 0.0124693762170991 0.0121317293799862 0.000636032414096363 4.71135121552861e-05 7.06702682329292e-05 0.00247345938815252 3.92612601294051e-05 7.85225202588102e-06 3.14090081035241e-05 1.5704504051762e-05 0.00138199635655506 0.00232426659966078 0.00402820528927696 0.000109931528362334 4.71135121552861e-05 0.00284251523336893 0.00329009359884415 0 0.000785225202588102 0.0026069476725925 2.35567560776431e-05 0.0633833783529116 0.00143696212073623 0.0149271311011998 2.35567560776431e-05 0 0.000934417991079842 1.5704504051762e-05 7.06702682329292e-05 2.35567560776431e-05 0.0508119228594761 3.92612601294051e-05 7.85225202588102e-06 3.14090081035241e-05 0.0465167410013192 7.85225202588102e-06 7.85225202588102e-06 7.85225202588102e-06 0 0 0.000698850430303411 0.00268547019285131 1.5704504051762e-05 0 6.28180162070482e-05 0 0.002771844965136 0 2.35567560776431e-05 0.00316445756643005 1.5704504051762e-05 0.0285429361140775 7.85225202588102e-06 7.85225202588102e-06 0 6.28180162070482e-05 1.5704504051762e-05 0 6.28180162070482e-05 0.000141340536465858 0.000125636032414096 0 3.14090081035241e-05 0 0.000455430617501099 8.63747722846912e-05 0 0 0 0 0.000251272064828193 0.00573214397889315 3.92612601294051e-05 0.00127991708021861 7.85225202588102e-06 0 0 7.85225202588102e-06 2.35567560776431e-05 1.5704504051762e-05 0.00210440354293611 0.000204158552672907 1.5704504051762e-05 0 2.35567560776431e-05 3.92612601294051e-05 0 0 7.85225202588102e-06 2.35567560776431e-05 3.92612601294051e-05 2.35567560776431e-05 0 0 0.00234782335573843 7.85225202588102e-06 0 7.85225202588102e-06 3.14090081035241e-05 7.85225202588102e-06 0 0.000321942333061122 0 7.85225202588102e-06 0 9.42270243105723e-05 7.85225202588102e-06 0 4.71135121552861e-05 0 0 0 0 7.85225202588102e-06 0 7.85225202588102e-06 0
Rush 0.0294985250737463 0.0180058997050148 0.00697345132743363 0.067693215339233 0.00341002949852507 0.000519174041297935 0.000306784660766962 0.00441297935103245 4.71976401179941e-05 0.0126253687315634 0.0257345132743363 0.0177227138643068 0.00887315634218289 0.00470796460176991 1.17994100294985e-05 1.17994100294985e-05 0.0281769911504425 0.0185840707964602 2.35988200589971e-05 0.00031858407079646 9.43952802359882e-05 0.00205309734513274 0.00165191740412979 0.00449557522123894 0.0112094395280236 0.00565191740412979 0.00231268436578171 0.0202477876106195 0.00108554572271386 0.0129085545722714 0.000106194690265487 0.0140884955752212 0.00768141592920354 8.25958702064897e-05 0.000176991150442478 3.53982300884956e-05 0.00768141592920354 0.00254867256637168 0.000554572271386431 0.000766961651917404 0.00250147492625369 3.53982300884956e-05 0.00152212389380531 5.89970501474926e-05 0.00169911504424779 0.039787610619469 0 0.0154572271386431 0 0.0132507374631268 5.89970501474926e-05 0 0.00547492625368732 0 0.0955398230088496 0.0173333333333333 0.0114690265486726 1.17994100294985e-05 0.000766961651917404 0.00455457227138643 0.00521533923303835 0.00529793510324484 0 5.89970501474926e-05 0 0.0288377581120944 0 0.000755162241887906 0.0105722713864307 2.35988200589971e-05 0.000235988200589971 0 0.0105368731563422 0.00488495575221239 2.35988200589971e-05 1.17994100294985e-05 0.00139233038348083 0.000306784660766962 0.0135457227138643 0.00359882005899705 1.17994100294985e-05 0.00351622418879056 0.00122713864306785 0.0300766961651917 0.00115634218289086 2.35988200589971e-05 0.00132153392330383 0.000519174041297935 0.00135693215339233 1.17994100294985e-05 0 0.00359882005899705 0 1.17994100294985e-05 0.00186430678466077 0.00247787610619469 0.0238702064896755 0.000153392330383481 0.000365781710914454 0.00328023598820059 0.0317050147492625 0.0103362831858407 0.00315044247787611 0 0 0 0.00208849557522124 0 0.00108554572271386 7.07964601769911e-05 5.89970501474926e-05 0.00245427728613569 0 0.00527433628318584 5.89970501474926e-05 0.00573451327433628 0.00195870206489676 0.00113274336283186 0.00154572271386431 0.000932153392330383 0 1.17994100294985e-05 0.00357522123893805 8.25958702064897e-05 0.00214749262536873 0.00455457227138643 0 1.17994100294985e-05 0.0016283185840708 0.00494395280235988 0.0125309734513274 1.17994100294985e-05 0.00247787610619469 0 5.89970501474926e-05 0 0.000542772861356932 0 0 4.71976401179941e-05 1.17994100294985e-05 1.17994100294985e-05 0 0.000448377581120944 0.0128259587020649 0 0.000106194690265487 0 0.00260766961651917 2.35988200589971e-05 0.000920353982300885 0.000613569321533923 0 0.0106430678466077 0.00359882005899705 0.00377581120943953 0.000471976401179941 0
SecondPine 0.106605988450369 0.0552223693434068 0.0337810020807139 0.0247015232606011 0.0197278381716422 0.00105704716655725 0.00848975776929667 0.0244456065781714 0.000211409433311451 0.00501819233807706 0.0139975298476739 0.0126066783127302 0.00752172510097582 0.00326015599790816 0 0.000189155808752351 0.0212077042048224 0.00346043861894006 0.000189155808752351 0.0217974252556385 0.00016690218419325 0.00541875758014087 0.00756623235009402 0.0109154028462386 0.00756623235009402 0.00934652231482203 8.90144982364003e-05 0.00486241696616336 0.00258142044885561 0.016122750993068 0.00527410902050672 0.00581932282220467 0.0160559901193907 0.000945779043761753 0.0011571884770732 0.00411692054343351 0 0.00139085153494375 0.000422818866622901 0.00477340246792696 0.0124509029408165 0.0249463131307512 0.00224761608046911 0.0001335217473546 0.000322677556106951 5.56340613977502e-05 0.00594171775727972 0.0190379758103101 0.00333804368386501 0.00832285558510342 0.0147207726458447 0.000244789870150101 0.00141310515950285 0.00180254358928711 0 0.00190268489980306 8.90144982364003e-05 0.00016690218419325 0.00322677556106951 1.112681227955e-05 6.67608736773002e-05 0.00453973941005641 0 0.0001335217473546 5.56340613977502e-05 0 0.021786298443359 0.00772200772200772 0.00012239493507505 0.0128848486197189 0.000556340613977502 0 0.000522960177138851 0.00192493852436216 0.000556340613977502 5.56340613977502e-05 0.00190268489980306 0.0011794421016323 0 0.000300423931547851 7.78876859568502e-05 0.0001112681227955 0.000478452928020651 0.000589721050816152 0.00205846027171676 0.00372748211364926 0.000278170306988751 0.00310438062599446 0.00270381538393066 0.00224761608046911 2.22536245591001e-05 1.112681227955e-05 0 0.0102589209217451 2.22536245591001e-05 0.00669834099228912 1.112681227955e-05 0.00193606533664171 0.0205846027171676 2.22536245591001e-05 0.000389438429784251 0.0010681739788368 0.00617538081515027 0 8.90144982364003e-05 0.00741045697818032 2.22536245591001e-05 0 0 0 0.0205289686557698 0.00283733713128526 0.00107930079111635 5.56340613977502e-05 0.00311550743827401 3.33804368386501e-05 2.22536245591001e-05 0 0.000500706552579751 0.00014464855963415 5.56340613977502e-05 0.00795567077987827 0.000912398606923103 0.00411692054343351 4.45072491182001e-05 0.000311550743827401 1.112681227955e-05 0.00818933383774882 1.112681227955e-05 0.00107930079111635 3.33804368386501e-05 4.45072491182001e-05 0.00314888787511266 0.00112380804023455 0.000222536245591001 0 0.00245902551378056 0 0.00330466324702636 0.0141866856564263 1.112681227955e-05 0 3.33804368386501e-05 0 0.000244789870150101 0.000901271794643553 0.00112380804023455 0.0136971059161261 0 2.22536245591001e-05 0.00319339512423086 0.00269268857165111 1.112681227955e-05 0 0.000233663057870551 0.00010014131051595 0 0
UpperPine 0.108021934838525 0.058463132323521 0.0306784081166047 0.0496123892540726 0.0265700914547013 0.000625178622463561 0.0124231923406688 0.0217919405544441 0.000401900543012289 0.00879715633038011 0.0148524578450986 0.0189250500142898 0.0121552586453272 0.00235781651900543 0.00114318376679051 8.93112317805087e-06 0.0111103172334953 0.00349206916261789 0 0.0144684195484424 0.004563803943984 0.00679658473849671 0.0108155901686196 0.0143076593312375 0.0122445698771077 0.000687696484709917 8.93112317805087e-05 0.00113425264361246 0.00400114318376679 0.0146113175192912 0.00071448985424407 0.00415297227779366 0.00470670191483281 0.00125928836810517 0.00702879394112604 0.00298299514146899 0.000160760217204916 0.000768076593312375 0.00146470420120034 0.0111013861103172 0.0102439982852244 0.00595705915975993 0.00285795941697628 0.0130394398399543 0.00170584452700772 0.00116104601314661 0.00626071734781366 0.00885967419262646 0.00860067162046299 0.00279544155472992 0.00726100314375536 5.35867390683052e-05 0.00659116890540154 0.00148256644755644 0 0.000473349528436696 4.46556158902544e-05 0.000133966847670763 0.00209881394684195 4.46556158902544e-05 8.93112317805087e-06 0.00423335238639611 0 0 0 0 0.0251143183766791 0.0123785367247785 0.000133966847670763 0.00521577593598171 0.0704486996284653 0 0.000357244927122035 0.00192912260645899 0.0290261503286653 0.00020541583309517 0.000241140325807374 0.0010002857959417 8.93112317805087e-06 0.00136646184624178 0 0.000375107173478137 9.82423549585596e-05 0.000535867390683052 0.000116104601314661 0.00263468133752501 0.00264361246070306 0.00300978851100314 4.46556158902544e-05 0.00338489568448128 8.93112317805087e-06 0.000223278079451272 0 0.00593919691340383 0 0.000464418405258645 8.93112317805087e-06 0.00229529865675907 0.000500142897970849 0 5.35867390683052e-05 5.35867390683052e-05 0.00192912260645899 0.00010717347813661 0 0.00645720205773078 0.000125035724492712 8.93112317805087e-06 1.78622463561017e-05 8.93112317805087e-06 0.00669834238353815 0.00109852815090026 0.000455487282080594 0.000116104601314661 0.00425121463275221 0.000741283223778222 0 0 0 1.78622463561017e-05 0 0.00401900543012289 0.000553729637039154 0.00147363532437839 0 0.000169691340382967 6.25178622463561e-05 0.00953843955415833 0.000276864818519577 0.000571591883395256 0 0 0.00100921691911975 0.0110120748785367 0.00587667905115747 3.57244927122035e-05 0.000250071448985424 0.00342955130037153 0.00141111746213204 0.000125035724492712 0 0 0 2.67933695341526e-05 0 0.000285795941697628 0.000580523006573307 0.00163439554158331 0 0.000250071448985424 0.00349206916261789 1.78622463561017e-05 0.0106012432123464 0 2.67933695341526e-05 9.82423549585596e-05 0.000187553586739068 0
