"Sample"	"Concentration (mg N/L)"	"LCL"	"UCL"	"SE"
"0"	0.488748678647571	-1.93422969157121	2.91172704886635	0.419815686807266
"5"	17.4526727567073	15.1309663065752	19.7743792068394	0.337508788130245
"10"	34.5147135521463	32.2192160240733	36.8102110802193	0.313391090410518
"25"	88.0225512857531	85.3306942152487	90.7144083562574	0.595526142556566
"50"	171.364716455049	167.188337099287	175.541095810811	1.29511710172447
"100"	327.552839818178	319.813623137169	335.292056499188	2.68040350941939
"MEM2012_001"	0.488748678647571	-1.93422969157121	2.91172704886635	0.419815686807266
"MEM2012_002"	17.4526727567073	15.1309663065752	19.7743792068394	0.337508788130245
"MEM2012_003"	34.5147135521463	32.2192160240733	36.8102110802193	0.313391090410518
"MEM2012_004"	88.0225512857531	85.3306942152487	90.7144083562574	0.595526142556566
"MEM2012_005"	171.364716455049	167.188337099287	175.541095810811	1.29511710172447
"MEM2012_006"	327.552839818178	319.813623137169	335.292056499188	2.68040350941939
"MEM2012_007"	0.488748678647571	-1.93422969157121	2.91172704886635	0.419815686807266
"MEM2012_008"	17.4526727567073	15.1309663065752	19.7743792068394	0.337508788130245
"MEM2012_009"	34.5147135521463	32.2192160240733	36.8102110802193	0.313391090410518
"MEM2012_010"	88.0225512857531	85.3306942152487	90.7144083562574	0.595526142556566
"MEM2012_011"	171.364716455049	167.188337099287	175.541095810811	1.29511710172447
"MEM2012_012"	327.552839818178	319.813623137169	335.292056499188	2.68040350941939
"MEM2012_013"	0.488748678647571	-1.93422969157121	2.91172704886635	0.419815686807266
"MEM2012_014"	17.4526727567073	15.1309663065752	19.7743792068394	0.337508788130245
"MEM2012_015"	34.5147135521463	32.2192160240733	36.8102110802193	0.313391090410518
"MEM2012_016"	88.0225512857531	85.3306942152487	90.7144083562574	0.595526142556566
"MEM2012_017"	171.364716455049	167.188337099287	175.541095810811	1.29511710172447
"MEM2012_018"	327.552839818178	319.813623137169	335.292056499188	2.68040350941939
"MEM2012_019"	0.488748678647571	-1.93422969157121	2.91172704886635	0.419815686807266
"MEM2012_020"	17.4526727567073	15.1309663065752	19.7743792068394	0.337508788130245
"MEM2012_021"	34.5147135521463	32.2192160240733	36.8102110802193	0.313391090410518
"MEM2012_022"	88.0225512857531	85.3306942152487	90.7144083562574	0.595526142556566
"MEM2012_023"	171.364716455049	167.188337099287	175.541095810811	1.29511710172447
"MEM2012_024"	327.552839818178	319.813623137169	335.292056499188	2.68040350941939
"MEM2012_025"	0.488748678647571	-1.93422969157121	2.91172704886635	0.419815686807266
"MEM2012_026"	17.4526727567073	15.1309663065752	19.7743792068394	0.337508788130245
"MEM2012_027"	34.5147135521463	32.2192160240733	36.8102110802193	0.313391090410518
"MEM2012_027"	88.0225512857531	85.3306942152487	90.7144083562574	0.595526142556566
"MEM2012_029"	171.364716455049	167.188337099287	175.541095810811	1.29511710172447
"MEM2012_030"	327.552839818178	319.813623137169	335.292056499188	2.68040350941939
