"Sample"	"Concentration (ug P/L)"	"LCL"	"UCL"	"SE"
"0"	0.334138850391228	-4.1695608398833	4.83783854066576	0.732873589820882
"0"	0.16465932197324	-4.34048338679602	4.66980203074251	0.734657894262416
"5"	3.72372941875098	-0.752657427527634	8.20011626502959	0.698354927132549
"5"	5.16430541030387	0.698625960985404	9.62998485962234	0.684407642266105
"10"	10.8418696123065	6.41306899428924	15.2706702303237	0.63430471058687
"10"	10.3334310270525	5.90167727488147	14.7651847792235	0.638445815972563
"25"	24.8239307067904	20.4487700856307	29.1990913279501	0.554274446024024
"25"	24.6544511783724	20.2789629848648	29.02993937188	0.5547950460991
"50"	48.7205442137267	44.3114732548997	53.1296151725536	0.605986947491414
"50"	51.7711757252504	47.3464399992938	56.1959114512071	0.628564565208023
"100"	103.462431892737	98.4248365729024	108.500027212571	1.25027152618876
"100"	96.0053326423452	91.0922781349517	100.918387149739	1.14610615426527
"Upper Pine Unfiltered"	2.96107154087003	-1.52120239390642	7.44334547564649	0.705919894253064
"Upper Pine Filtered"	2.1136738987801	-2.37531770694036	6.60266550450056	0.714466260592912
"Ann Unfiltered"	3.97794871137796	-0.496509314945668	8.45240673770159	0.695860669664899
"Ann Filtered"	1.52049554931714	-2.97330851772547	6.01429961635975	0.720534213835205
"North Pony Unfiltered"	15.4178168795921	11.0124588930734	19.8231748661108	0.600523076280291
"North Pony Filtered"	9.06233456391758	4.62289556634036	13.5017735614948	0.649111499225175
"South Pony Unfiltered"	10.7571298480975	6.32784185204817	15.1864178441468	0.634989818619396
"South Pony Filtered"	8.97759479970859	4.53762813074146	13.4175614686757	0.649838057839305
"Canyon Unfiltered"	2.45263295561607	-2.03364934146758	6.93891525269972	0.711030241776406
"Canyon Filtered"	2.53737271982507	-1.94823688001483	7.02298231966496	0.710174855218858
"Rush Unfiltered"	NA	NA	NA	NA
"Rush Filtered"	1.52049554931714	-2.97330851772547	6.01429961635975	0.720534213835205
"Mountain Unfiltered"	2.1136738987801	-2.37531770694036	6.60266550450056	0.714466260592912
"Mountain Filtered"	1.94419437036211	-2.54616298973306	6.43455173045728	0.716192880616633
"Second Pine Unfiltered"	3.55424989033299	-0.923432162841736	8.03193194350771	0.700025439745622
"Second Pine Filtered"	2.36789319140708	-2.1190636557229	6.85485003853706	0.7118870808228
"Ives Unfiltered"	1.35101602089915	-3.14417963948347	5.84621168128177	0.722280553134112
"Ives Filtered"	0.673097907227203	-3.82773772973452	5.17393354418892	0.729320937175345
"Howe Unfiltered"	1.85945460615312	-2.63158840319585	6.35049761550208	0.717058325163005
"Howe Filtered"	0.503618378809215	-3.99864561852607	5.0058823761445	0.731094591182991
"Lily Unfiltered"	4.7406065892589	0.271834090132695	9.20937908838511	0.688462176488636
"Lily Filtered"	1.85945460615312	-2.63158840319585	6.35049761550208	0.717058325163005
