Sample Name	Date / Time	Analysis(Inj.)	Area	Mean Area	Excluded	Inj. Vol.
Blank Sipper	8/9/2011 12:06	NPOC	0.6052	0.6264	0	50
Blank Sipper	8/9/2011 12:07	NPOC	0.6441	0.6264	0	50
Blank Sipper	8/9/2011 12:09	NPOC	0.6298	0.6264	0	50
Blank Sipper	8/9/2011 12:06	TN	0.5221	1.681	1	50
Blank Sipper	8/9/2011 12:07	TN	1.429	1.681	0	50
Blank Sipper	8/9/2011 12:09	TN	0.9767	1.681	1	50
Blank Sipper	8/9/2011 12:11	TN	1.622	1.681	0	50
Blank Sipper	8/9/2011 12:15	TN	1.991	1.681	0	50
Blank	8/9/2011 12:23	NPOC	1.194	1.688	1	50
Blank	8/9/2011 12:25	NPOC	1.774	1.688	0	50
Blank	8/9/2011 12:27	NPOC	1.708	1.688	0	50
Blank	8/9/2011 12:28	NPOC	1.582	1.688	0	50
Blank	8/9/2011 12:23	TN	0.5411	0.5734	0	50
Blank	8/9/2011 12:25	TN	0.5117	0.5734	0	50
Blank	8/9/2011 12:27	TN	0.6674	0.5734	0	50
5 ppm	8/9/2011 12:34	NPOC	17.31	18.45	1	50
5 ppm	8/9/2011 12:37	NPOC	18.65	18.45	0	50
5 ppm	8/9/2011 12:40	NPOC	18.6	18.45	0	50
5 ppm	8/9/2011 12:42	NPOC	18.09	18.45	0	50
5 ppm	8/9/2011 12:34	TN	59.84	60.52	0	50
5 ppm	8/9/2011 12:37	TN	61.28	60.52	0	50
5 ppm	8/9/2011 12:40	TN	60.44	60.52	0	50
10 ppm	8/9/2011 12:48	NPOC	33.82	34.31	0	50
10 ppm	8/9/2011 12:51	NPOC	34.61	34.31	0	50
10 ppm	8/9/2011 12:55	NPOC	34.49	34.31	0	50
10 ppm	8/9/2011 12:48	TN	123.9	123.6	0	50
10 ppm	8/9/2011 12:51	TN	124.7	123.6	0	50
10 ppm	8/9/2011 12:55	TN	122.3	123.6	0	50
25 ppm	8/9/2011 13:01	NPOC	85.36	85.94	0	50
25 ppm	8/9/2011 13:05	NPOC	86.67	85.94	0	50
25 ppm	8/9/2011 13:09	NPOC	85.78	85.94	0	50
25 ppm	8/9/2011 13:01	TN	312.7	312.7	0	50
25 ppm	8/9/2011 13:05	TN	313.9	312.7	0	50
25 ppm	8/9/2011 13:09	TN	311.6	312.7	0	50
50 ppm	8/9/2011 13:16	NPOC	170	170.9	0	50
50 ppm	8/9/2011 13:20	NPOC	170.8	170.9	0	50
50 ppm	8/9/2011 13:24	NPOC	172	170.9	0	50
50 ppm	8/9/2011 13:16	TN	601.6	604.1	0	50
50 ppm	8/9/2011 13:20	TN	605.9	604.1	0	50
50 ppm	8/9/2011 13:24	TN	604.7	604.1	0	50
100 ppm	8/9/2011 13:32	NPOC	352.7	352.4	0	50
100 ppm	8/9/2011 13:37	NPOC	352.8	352.4	0	50
100 ppm	8/9/2011 13:42	NPOC	351.7	352.4	0	50
100 ppm	8/9/2011 13:32	TN	1200	1199	0	50
100 ppm	8/9/2011 13:37	TN	1198	1199	0	50
100 ppm	8/9/2011 13:42	TN	1200	1199	0	50
11720	8/9/2011 13:47	NPOC	17.7	18.24	1	50
11720	8/9/2011 13:51	NPOC	18.5	18.24	0	50
11720	8/9/2011 13:54	NPOC	18.16	18.24	0	50
11720	8/9/2011 13:57	NPOC	18.05	18.24	0	50
11720	8/9/2011 13:47	TN	24.12	24.71	0	50
11720	8/9/2011 13:51	TN	24.32	24.71	0	50
11720	8/9/2011 13:54	TN	22.06	24.71	1	50
11720	8/9/2011 13:57	TN	22	24.71	1	50
11720	8/9/2011 14:05	TN	25.68	24.71	0	50
11721	8/9/2011 14:12	NPOC	9.109	9.172	0	50
11721	8/9/2011 14:15	NPOC	9.187	9.172	0	50
11721	8/9/2011 14:20	NPOC	8.802	9.172	1	50
11721	8/9/2011 14:21	NPOC	9.219	9.172	0	50
