	Axis_1	Axis_2	Axis_3	Rt	mz
C541	-0.139	0.055	-0.927	230.06	227.091
C549	0.164	0.891	-0.139	231.39	243.087
C556	0.248	0.236	0.709	234.74	219.066
C574	0.333	-0.842	0.091	238.23	379.102
C593	0.798	0.052	0.276	244.38	279.087
C596	0.818	-0.006	0.164	244.01	333.132
C597	-0.03	0.479	0.806	242.88	309.097
C606	0.05	0.832	-0.05	243.83	259.096
C608	0.709	-0.188	0.491	204.39	395.135
C612	0.234	0.701	0.45	180.64	313.092
C633	-0.207	0.134	-0.754	285.46	369.154
C648	-0.079	0.067	0.794	285.17	351.106
C651	0.127	0.813	0.157	285.09	215.108
C664	-0.171	0.15	-0.785	278.18	369.152
C673	0.2	0.745	-0.503	273.69	353.123
C680	-0.481	0.275	-0.719	275.85	329.122
C718	0.022	0.798	0.127	263.41	243.104
C729	0.782	-0.03	0.418	262.68	377.123
C742	-0.281	-0.713	0.35	264.95	187.112
C743	-0.018	-0.964	0.03	265.61	307.118
C746	0.772	-0.462	0.006	265.56	363.143
C750	-0.212	0.721	-0.273	265.54	312.116
C753	-0.37	0.721	-0.491	268.38	341.123
C777	0.709	-0.152	0.552	256.38	405.155
C782	0.723	-0.34	0.213	252.85	283.118
C786	-0.325	-0.006	-0.791	254.54	281.139
C793	0.758	0.224	-0.297	253.98	413.062
C794	0.758	-0.37	-0.261	254.09	407.135
C797	0.867	-0.309	-0.188	253.28	267.123
C810	-0.225	0.847	-0.109	251.54	181.086
C812	0.512	-0.717	-0.089	249.2	451.156
C824	0.152	0.879	0.139	250.53	215.107
C825	0.721	0.055	0.467	250.18	233.117
C835	0.709	-0.624	0.006	329.82	333.17
C840	0.236	-0.188	-0.794	332.97	367.176
C842	0.83	-0.006	0.285	336.95	333.171
C843	-0.297	-0.152	-0.83	337.87	563.251
C870	-0.231	-0.022	-0.813	309.3	327.144
C892	0.297	-0.709	-0.091	314.76	363.144
C896	0.733	-0.309	0.042	318.29	361.165
C900	-0.006	-0.163	-0.794	304.98	339.144
C904	0.745	0.006	0.333	305.62	235.132
C920	0.709	-0.212	-0.539	299.74	289.143
C923	-0.116	-0.225	-0.792	301.49	351.144
C925	0.891	-0.176	0.127	297.66	403.175
C927	0.079	0.709	-0.212	298.68	205.122
C933	-0.358	-0.067	-0.782	299.11	341.16
C937	0.426	-0.158	0.723	296.38	363.144
C940	-0.798	0.127	0.365	296.78	421.15
C941	-0.239	-0.387	-0.779	296.28	409.149
C944	0.709	-0.394	-0.018	295.67	365.16
C948	-0.163	0.1	-0.9	293.47	355.138
C949	-0.725	0.175	-0.175	293.87	395.133
C955	0.806	0.152	0.152	295.23	283.155
C956	0.782	-0.503	-0.285	292.77	307.118
C961	0.758	0.248	-0.103	292.56	281.103
C972	0.744	-0.089	0.082	290.31	365.16
C973	0.782	-0.309	0.03	290.43	419.17
C984	-0.794	0.236	-0.418	398.51	645.184
C989	0.685	-0.721	-0.018	361.29	333.169
C992	0.127	-0.467	-0.709	354.28	365.159
C994	0.325	-0.779	0.067	357.05	253.143
C1007	0.273	-0.879	0.006	554.6	354.202
C1008	0.3	-0.882	0.106	560.52	398.229
C1011	0.153	-0.914	0.043	515	307.157
C1013	0.873	-0.369	-0.084	508.56	301.111
C1015	0.215	-0.951	-0.043	544.52	310.176
C1016	0.362	-0.724	-0.273	546.87	279.163
C1017	0.226	-0.899	-0.019	540.18	322.177
C1018	-0.855	-0.285	0.115	537.42	311.168
C1019	0.013	-0.882	0.038	580.39	422.229
C1021	-0.718	-0.136	0.2	593.87	340.202
C1022	-0.052	-0.753	0.231	607.55	469.283
