	Axis_1	Axis_2	Axis_3	Rt	mz
C1	0.782	-0.115	0.37	19.13	830.759
C2	0.818	0.152	0.079	19.31	892.73
C6	-0.867	-0.067	-0.115	559.96	646.331
C9	0.43	-0.77	0.103	18.16	939.729
C23	-0.236	0.733	-0.333	244.29	329.122
C30	-0.8	-0.131	0.213	582.78	674.36
C35	0.745	-0.127	0.406	209.46	423.132
C36	0.176	0.77	0.188	224.86	352.106
C37	0.248	0.903	-0.042	237.55	368.141
C56	0.891	-0.115	0.261	229.67	427.126
C57	0.806	-0.212	0.224	230.07	323.113
C63	0.758	-0.079	-0.055	199.63	269.065
C64	0.709	0.115	0.527	204.21	399.131
C76	-0.176	-0.273	-0.77	305.99	483.172
C82	-0.865	-0.141	0.08	580.57	654.377
C88	0.782	0.127	0.212	208.83	329.123
C96	0.042	0.855	-0.152	231.09	315.108
C102	0.721	0.152	0.6	203.84	327.107
C104	-0.164	-0.006	-0.806	282.76	383.134
C107	-0.321	-0.115	-0.818	271.43	385.148
C142	0.127	0.842	0.248	239.6	257.102
C143	-0.067	0.467	-0.745	242.16	371.133
C144	0.758	0.261	0.285	203.3	339.108
C145	0.455	0.333	0.721	194.37	329.124
C163	-0.139	0.248	-0.794	249.97	299.113
C170	0.325	-0.919	0.031	570.94	529.303
C172	-0.794	-0.018	0.03	534.35	617.295
C173	-0.888	-0.075	0.169	603.73	680.411
C194	0.758	0.285	0.042	210.16	255.087
C223	0.73	-0.313	0.325	243.04	467.152
C231	-0.345	0.091	-0.818	284.92	425.146
C233	-0.152	-0.091	-0.721	279.95	437.144
C236	0.188	-0.236	-0.782	275.56	439.158
C247	0.758	-0.164	-0.37	334.37	379.174
C249	0.415	-0.701	-0.294	335.94	323.147
C258	0.091	0.745	0.261	306.1	380.107
C260	-0.207	-0.018	-0.851	300.48	429.176
C267	-0.879	-0.127	0.055	550.98	323.168
C268	-0.875	-0.05	0.219	604.55	701.39
C291	-0.758	0.224	0.236	63.53	199.804
C293	-0.006	0.9	0.055	46.34	199.804
C308	0.77	0.224	0.321	220.7	411.129
C312	-0.841	0.092	-0.153	227.22	195.102
C316	0.745	-0.564	-0.018	222.69	381.156
C335	0.758	-0.164	0.37	237.89	423.13
C361	0.079	0.309	-0.77	272.2	395.134
C362	0.097	-0.317	-0.821	270.33	451.159
C385	0.055	0.2	-0.721	255.67	299.113
C388	-0.6	0.152	-0.721	252.81	329.123
C402	-0.006	0.903	-0.006	346.89	393.155
C418	-0.806	0.285	-0.358	324.22	369.153
C420	0.83	-0.382	-0.248	324.56	275.05
C421	-0.127	-0.127	-0.855	312.74	367.138
C441	-0.188	0.345	-0.721	292.02	369.152
C443	-0.006	-0.006	-0.915	291.07	339.106
C448	0.096	-0.792	0.259	394.43	215.054
C450	0.77	-0.539	-0.067	353.53	347.185
C451	0.152	-0.745	0.139	359.11	367.176
C455	-0.903	0.042	0.176	573.59	327.183
C457	-0.853	-0.252	0.067	563.24	625.345
C459	-0.782	-0.2	0.317	534.16	597.312
C460	-0.867	0.188	-0.176	536.41	397.078
C461	-0.828	-0.288	-0.006	587.02	652.377
C496	-0.754	0.116	-0.292	69.26	207.836
C498	-0.525	0.725	-0.175	60.23	244.94
C500	0.742	-0.596	-0.116	40.2	413.648
C506	0.309	-0.079	0.806	443.46	433.228
C519	0.169	0.406	0.744	219.84	319.119
C525	0.345	0.721	0.03	226.72	399.124
C529	0.758	0.042	0.394	223.05	323.113
C539	0.794	0.103	0.285	225.31	293.103
