Sample Name	Inj. No.	Analysis(Inj.)	Area	Mean Area	Excluded	Inj. Vol.	
Blank Sipper	1	NPOC	0.7658	0.09917	1	50	
Blank Sipper	2	NPOC	0.3605	0.09917	1	50	
Blank Sipper	3	NPOC	0.2975	0.09917	0	50	
Blank Sipper	4	NPOC	0.000	0.09917	0	50	
Blank Sipper	5	NPOC	0.000	0.09917	0	50	
Blank Sipper	1	TN	2.320	1.025	1	50	
Blank Sipper	2	TN	1.389	1.025	0	50	
Blank Sipper	3	TN	1.525	1.025	1	50	
Blank Sipper	4	TN	0.8342	1.025	0	50	
Blank Sipper	5	TN	0.8520	1.025	0	50	
Blank Vial	1	NPOC	0.8779	0.9368	0	50	
Blank Vial	2	NPOC	0.9305	0.9368	0	50	
Blank Vial	3	NPOC	1.135	0.9368	1	50	
Blank Vial	4	NPOC	1.002	0.9368	0	50	
Blank Vial	1	TN	1.961	1.304	1	50	
Blank Vial	2	TN	1.262	1.304	0	50	
Blank Vial	3	TN	1.269	1.304	0	50	
Blank Vial	4	TN	1.380	1.304	0	50	
5ppm C,N	1	NPOC	16.46	17.09	1	50	
5ppm C,N	2	NPOC	16.87	17.09	0	50	
5ppm C,N	3	NPOC	17.18	17.09	0	50	
5ppm C,N	4	NPOC	17.23	17.09	0	50	
5ppm C,N	1	TN	60.55	60.78	0	50	
5ppm C,N	2	TN	60.24	60.78	0	50	
5ppm C,N	3	TN	61.54	60.78	0	50	
10ppm C,N	1	NPOC	32.68	32.77	0	50	
10ppm C,N	2	NPOC	32.81	32.77	0	50	
10ppm C,N	3	NPOC	32.81	32.77	0	50	
10ppm C,N	1	TN	121.5	120.6	0	50	
10ppm C,N	2	TN	120.5	120.6	0	50	
10ppm C,N	3	TN	119.9	120.6	0	50	
25ppm C,N	1	NPOC	85.01	86.26	0	50	
25ppm C,N	2	NPOC	86.81	86.26	0	50	
25ppm C,N	3	NPOC	86.96	86.26	0	50	
25ppm C,N	1	TN	306.9	308.2	0	50	
25ppm C,N	2	TN	309.4	308.2	0	50	
25ppm C,N	3	TN	308.4	308.2	0	50	
