Sample Name	Inj. No.	Analysis(Inj.)	Area	Mean Area	Excluded	Inj. Vol.	
50ppm C,N	1	NPOC	172.1	175.1	0	50	
50ppm C,N	2	NPOC	176.3	175.1	0	50	
50ppm C,N	3	NPOC	177.0	175.1	0	50	
50ppm C,N	1	TN	593.0	600.4	0	50	
50ppm C,N	2	TN	602.3	600.4	0	50	
50ppm C,N	3	TN	605.8	600.4	0	50	
100ppm C,N	1	NPOC	342.4	343.5	0	50	
100ppm C,N	2	NPOC	343.2	343.5	0	50	
100ppm C,N	3	NPOC	344.9	343.5	0	50	
100ppm C,N	1	TN	1152	1148	0	50	
100ppm C,N	2	TN	1147	1148	0	50	
100ppm C,N	3	TN	1146	1148	0	50	
MEM2012_001	1	NPOC	29.38	25.88	1	50	
MEM2012_001	2	NPOC	26.14	25.88	0	50	
MEM2012_001	3	NPOC	25.84	25.88	0	50	
MEM2012_001	4	NPOC	25.65	25.88	0	50	
MEM2012_001	1	TN	19.61	9.816	1	50	
MEM2012_001	2	TN	13.50	9.816	1	50	
MEM2012_001	3	TN	10.82	9.816	0	50	
MEM2012_001	4	TN	10.37	9.816	0	50	
MEM2012_001	5	TN	8.258	9.816	0	50	
MEM2012_002	1	NPOC	24.14	24.14	0	50	
MEM2012_002	2	NPOC	24.11	24.14	0	50	
MEM2012_002	3	NPOC	24.17	24.14	0	50	
MEM2012_002	1	TN	6.437	4.814	1	50	
MEM2012_002	2	TN	5.669	4.814	1	50	
MEM2012_002	3	TN	5.373	4.814	0	50	
MEM2012_002	4	TN	4.579	4.814	0	50	
MEM2012_002	5	TN	4.489	4.814	0	50	
MEM2012_003	1	NPOC	24.80	24.69	0	50	
MEM2012_003	2	NPOC	24.62	24.69	0	50	
MEM2012_003	3	NPOC	24.65	24.69	0	50	
MEM2012_003	1	TN	5.309	5.237	0	50	
MEM2012_003	2	TN	5.180	5.237	0	50	
MEM2012_003	3	TN	4.945	5.237	1	50	
MEM2012_003	4	TN	5.442	5.237	1	50	
MEM2012_003	5	TN	5.223	5.237	0	50	
MEM2012_004	1	NPOC	24.16	24.15	0	50	
MEM2012_004	2	NPOC	24.41	24.15	0	50	
MEM2012_004	3	NPOC	23.88	24.15	0	50	
MEM2012_004	1	TN	4.007	4.030	0	50	
MEM2012_004	2	TN	4.272	4.030	1	50	
MEM2012_004	3	TN	4.053	4.030	0	50	
MEM2012_004	4	TN	4.029	4.030	0	50	
MEM2012_005	1	NPOC	67.62	66.68	0	50	
MEM2012_005	2	NPOC	66.42	66.68	0	50	
MEM2012_005	3	NPOC	65.99	66.68	0	50	
MEM2012_005	1	TN	113.6	113.9	0	50	
MEM2012_005	2	TN	113.4	113.9	0	50	
MEM2012_005	3	TN	114.8	113.9	0	50	
MEM2012_006	1	NPOC	57.45	57.38	0	50	
MEM2012_006	2	NPOC	57.29	57.38	0	50	
MEM2012_006	3	NPOC	57.39	57.38	0	50	
MEM2012_006	1	TN	110.6	111.5	0	50	
MEM2012_006	2	TN	111.3	111.5	0	50	
MEM2012_006	3	TN	112.6	111.5	0	50	
MEM2012_007	1	NPOC	94.54	93.19	0	50	
MEM2012_007	2	NPOC	92.43	93.19	0	50	
MEM2012_007	3	NPOC	92.60	93.19	0	50	
MEM2012_007	1	TN	172.0	169.1	0	50	
MEM2012_007	2	TN	167.4	169.1	0	50	
MEM2012_007	3	TN	167.9	169.1	0	50	
MEM2012_008	1	NPOC	24.23	24.22	0	50	
MEM2012_008	2	NPOC	24.39	24.22	0	50	
MEM2012_008	3	NPOC	24.03	24.22	0	50	
MEM2012_008	1	TN	5.332	5.231	0	50	
MEM2012_008	2	TN	5.604	5.231	1	50	
MEM2012_008	3	TN	5.193	5.231	0	50	
MEM2012_008	4	TN	5.167	5.231	0	50	
MEM2012_009	1	NPOC	23.49	23.57	0	50	
MEM2012_009	2	NPOC	23.50	23.57	0	50	
MEM2012_009	3	NPOC	23.71	23.57	0	50	
MEM2012_009	1	TN	4.110	4.877	1	50	
MEM2012_009	2	TN	4.770	4.877	0	50	
MEM2012_009	3	TN	4.412	4.877	1	50	
MEM2012_009	4	TN	4.990	4.877	0	50	
MEM2012_009	5	TN	4.872	4.877	0	50	
MEM2012_010	1	NPOC	23.14	23.29	0	50	
MEM2012_010	2	NPOC	23.21	23.29	0	50	
MEM2012_010	3	NPOC	23.53	23.29	0	50	
MEM2012_010	1	TN	2.510	2.919	1	50	
MEM2012_010	2	TN	2.890	2.919	0	50	
MEM2012_010	3	TN	2.962	2.919	0	50	
MEM2012_010	4	TN	2.906	2.919	0	50	
MEM2012_011	1	NPOC	2.833	2.665	1	50	
MEM2012_011	2	NPOC	2.996	2.665	1	50	
MEM2012_011	3	NPOC	2.721	2.665	0	50	
MEM2012_011	4	NPOC	2.591	2.665	0	50	
MEM2012_011	5	NPOC	2.684	2.665	0	50	
MEM2012_011	1	TN	0.000	0.4036	1	50	
MEM2012_011	2	TN	0.7397	0.4036	1	50	
MEM2012_011	3	TN	0.4515	0.4036	0	50	
MEM2012_011	4	TN	0.3339	0.4036	0	50	
MEM2012_011	5	TN	0.4254	0.4036	0	50	
MEM2012_012	1	NPOC	22.00	22.06	0	50	
MEM2012_012	2	NPOC	22.17	22.06	0	50	
MEM2012_012	3	NPOC	22.00	22.06	0	50	
MEM2012_012	1	TN	3.019	3.056	0	50	
MEM2012_012	2	TN	3.030	3.056	0	50	
MEM2012_012	3	TN	3.224	3.056	1	50	
MEM2012_012	4	TN	3.120	3.056	0	50	
MEM2012_013	1	NPOC	21.09	21.34	0	50	
MEM2012_013	2	NPOC	21.41	21.34	0	50	
MEM2012_013	3	NPOC	21.52	21.34	0	50	
MEM2012_013	1	TN	2.645	3.021	1	50	
MEM2012_013	2	TN	2.753	3.021	1	50	
MEM2012_013	3	TN	2.961	3.021	0	50	
MEM2012_013	4	TN	3.084	3.021	0	50	
MEM2012_013	5	TN	3.019	3.021	0	50	
MEM2012_014	1	NPOC	26.84	26.78	0	50	
MEM2012_014	2	NPOC	26.81	26.78	0	50	
MEM2012_014	3	NPOC	26.70	26.78	0	50	
MEM2012_014	1	TN	3.490	4.004	1	50	
MEM2012_014	2	TN	3.943	4.004	0	50	
MEM2012_014	3	TN	4.024	4.004	0	50	
MEM2012_014	4	TN	4.255	4.004	1	50	
MEM2012_014	5	TN	4.045	4.004	0	50	
MEM2012_015	1	NPOC	27.29	27.37	0	50	
MEM2012_015	2	NPOC	27.57	27.37	0	50	
MEM2012_015	3	NPOC	27.24	27.37	0	50	
MEM2012_015	1	TN	3.657	3.656	0	50	
MEM2012_015	2	TN	3.653	3.656	0	50	
MEM2012_015	3	TN	3.659	3.656	0	50	
MEM2012_016	1	NPOC	21.56	21.56	0	50	
MEM2012_016	2	NPOC	21.70	21.56	0	50	
MEM2012_016	3	NPOC	21.41	21.56	0	50	
MEM2012_016	1	TN	3.116	3.093	0	50	
MEM2012_016	2	TN	3.571	3.093	1	50	
MEM2012_016	3	TN	3.216	3.093	0	50	
MEM2012_016	4	TN	2.754	3.093	1	50	
MEM2012_016	5	TN	2.948	3.093	0	50	
MEM2012_017	1	NPOC	19.92	19.88	0	50	
MEM2012_017	2	NPOC	19.91	19.88	0	50	
MEM2012_017	3	NPOC	19.80	19.88	0	50	
MEM2012_017	1	TN	2.639	2.642	0	50	
MEM2012_017	2	TN	2.634	2.642	0	50	
MEM2012_017	3	TN	2.652	2.642	0	50	
MEM2012_018	1	NPOC	18.35	18.48	0	50	
MEM2012_018	2	NPOC	18.84	18.48	0	50	
MEM2012_018	3	NPOC	18.26	18.48	0	50	
MEM2012_018	1	TN	2.168	2.487	1	50	
MEM2012_018	2	TN	2.544	2.487	0	50	
MEM2012_018	3	TN	2.279	2.487	1	50	
MEM2012_018	4	TN	2.495	2.487	0	50	
MEM2012_018	5	TN	2.422	2.487	0	50	
5ppm Check	1	NPOC	17.50	17.46	0	50	
5ppm Check	2	NPOC	17.57	17.46	0	50	
5ppm Check	3	NPOC	17.31	17.46	0	50	
5ppm Check	1	TN	61.35	60.89	0	50	
5ppm Check	2	TN	61.13	60.89	0	50	
5ppm Check	3	TN	60.18	60.89	0	50	
MEM2012_019	1	NPOC	17.95	18.17	0	50	
MEM2012_019	2	NPOC	18.36	18.17	0	50	
MEM2012_019	3	NPOC	18.21	18.17	0	50	
MEM2012_019	1	TN	2.081	2.312	1	50	
MEM2012_019	2	TN	2.332	2.312	0	50	
MEM2012_019	3	TN	2.244	2.312	0	50	
MEM2012_019	4	TN	2.359	2.312	0	50	
MEM2012_020	1	NPOC	23.66	24.03	0	50	
MEM2012_020	2	NPOC	24.20	24.03	0	50	
MEM2012_020	3	NPOC	24.22	24.03	0	50	
MEM2012_020	1	TN	3.320	3.634	1	50	
MEM2012_020	2	TN	3.748	3.634	0	50	
MEM2012_020	3	TN	3.616	3.634	0	50	
MEM2012_020	4	TN	3.539	3.634	0	50	
MEM2012_020	5	TN	3.315	3.634	1	50	
MEM2012_021	1	NPOC	24.21	24.65	0	50	
MEM2012_021	2	NPOC	24.78	24.65	0	50	
MEM2012_021	3	NPOC	24.96	24.65	0	50	
MEM2012_021	1	TN	3.714	3.692	0	50	
MEM2012_021	2	TN	3.739	3.692	0	50	
MEM2012_021	3	TN	3.622	3.692	0	50	
MEM2012_022	1	NPOC	14.29	14.47	0	50	
MEM2012_022	2	NPOC	14.51	14.47	0	50	
MEM2012_022	3	NPOC	14.60	14.47	0	50	
MEM2012_022	1	TN	2.504	2.145	1	50	
MEM2012_022	2	TN	2.067	2.145	0	50	
MEM2012_022	3	TN	1.895	2.145	1	50	
MEM2012_022	4	TN	2.177	2.145	0	50	
MEM2012_022	5	TN	2.190	2.145	0	50	
MEM2012_023	1	NPOC	14.87	15.05	0	50	
MEM2012_023	2	NPOC	15.12	15.05	0	50	
MEM2012_023	3	NPOC	15.15	15.05	0	50	
MEM2012_023	1	TN	1.940	1.909	0	50	
MEM2012_023	2	TN	2.234	1.909	1	50	
MEM2012_023	3	TN	2.103	1.909	1	50	
MEM2012_023	4	TN	1.819	1.909	0	50	
MEM2012_023	5	TN	1.969	1.909	0	50	
MEM2012_024	1	NPOC	100.8	101.1	0	50	
MEM2012_024	2	NPOC	101.3	101.1	0	50	
MEM2012_024	3	NPOC	101.2	101.1	0	50	
MEM2012_024	1	TN	11.25	11.28	0	50	
MEM2012_024	2	TN	11.20	11.28	0	50	
MEM2012_024	3	TN	11.39	11.28	0	50	
MEM2012_025	1	NPOC	96.73	97.04	0	50	
MEM2012_025	2	NPOC	97.43	97.04	0	50	
MEM2012_025	3	NPOC	96.96	97.04	0	50	
MEM2012_025	1	TN	10.40	10.49	0	50	
MEM2012_025	2	TN	10.54	10.49	0	50	
MEM2012_025	3	TN	10.52	10.49	0	50	
MEM2012_026	1	NPOC	24.11	24.10	0	50	
MEM2012_026	2	NPOC	24.03	24.10	0	50	
MEM2012_026	3	NPOC	24.15	24.10	0	50	
MEM2012_026	1	TN	2.886	2.896	0	50	
MEM2012_026	2	TN	2.935	2.896	0	50	
MEM2012_026	3	TN	3.152	2.896	1	50	
MEM2012_026	4	TN	2.866	2.896	0	50	
MEM2012_027	1	NPOC	23.37	23.74	0	50	
MEM2012_027	2	NPOC	23.92	23.74	0	50	
MEM2012_027	3	NPOC	23.92	23.74	0	50	
MEM2012_027	1	TN	2.733	2.864	0	50	
MEM2012_027	2	TN	2.950	2.864	0	50	
MEM2012_027	3	TN	2.909	2.864	0	50	
MEM2012_027	4	TN	2.506	2.864	1	50	
MEM2012_027	5	TN	3.227	2.864	1	50	
MEM2012_028	1	NPOC	47.17	47.65	0	50	
MEM2012_028	2	NPOC	47.87	47.65	0	50	
MEM2012_028	3	NPOC	47.91	47.65	0	50	
MEM2012_028	1	TN	5.055	5.348	1	50	
MEM2012_028	2	TN	5.386	5.348	0	50	
MEM2012_028	3	TN	5.406	5.348	0	50	
MEM2012_028	4	TN	5.251	5.348	0	50	
MEM2012_029	1	NPOC	50.85	50.84	0	50	
MEM2012_029	2	NPOC	50.84	50.84	0	50	
MEM2012_029	3	NPOC	50.82	50.84	0	50	
MEM2012_029	1	TN	6.085	6.007	0	50	
MEM2012_029	2	TN	5.626	6.007	1	50	
MEM2012_029	3	TN	6.061	6.007	0	50	
MEM2012_029	4	TN	5.876	6.007	0	50	
MEM2012_030	1	NPOC	3.138	2.620	1	50	
MEM2012_030	2	NPOC	2.740	2.620	0	50	
MEM2012_030	3	NPOC	2.513	2.620	0	50	
MEM2012_030	4	NPOC	2.606	2.620	0	50	
MEM2012_030	5	NPOC	2.341	2.620	1	50	
MEM2012_030	1	TN	1.005	0.3792	1	50	
MEM2012_030	2	TN	0.3531	0.3792	0	50	
MEM2012_030	3	TN	0.6207	0.3792	1	50	
MEM2012_030	4	TN	0.4388	0.3792	0	50	
MEM2012_030	5	TN	0.3457	0.3792	0	50	
12295	1	NPOC	13.81	13.97	0	50	
12295	2	NPOC	14.11	13.97	0	50	
12295	3	NPOC	13.98	13.97	0	50	
12295	1	TN	8.327	8.286	0	50	
12295	2	TN	8.722	8.286	1	50	
12295	3	TN	8.166	8.286	0	50	
12295	4	TN	8.366	8.286	0	50	
12296	1	NPOC	22.53	22.84	0	50	
12296	2	NPOC	22.99	22.84	0	50	
12296	3	NPOC	23.01	22.84	0	50	
12296	1	TN	10.71	10.97	0	50	
12296	2	TN	11.27	10.97	0	50	
12296	3	TN	10.94	10.97	0	50	
12296	4	TN	9.480	10.97	1	50	
12296	5	TN	9.194	10.97	1	50	
12297	1	NPOC	17.91	18.02	0	50	
12297	2	NPOC	18.10	18.02	0	50	
12297	3	NPOC	18.05	18.02	0	50	
12297	1	TN	11.05	11.10	0	50	
12297	2	TN	11.21	11.10	0	50	
12297	3	TN	11.05	11.10	0	50	
12298	1	NPOC	11.54	11.67	0	50	
12298	2	NPOC	11.65	11.67	0	50	
12298	3	NPOC	11.81	11.67	0	50	
12298	1	TN	14.15	14.69	1	50	
12298	2	TN	14.39	14.69	0	50	
12298	3	TN	14.79	14.69	0	50	
12298	4	TN	14.88	14.69	0	50	
12299	1	NPOC	10.94	10.88	0	50	
12299	2	NPOC	10.80	10.88	0	50	
12299	3	NPOC	10.90	10.88	0	50	
12299	1	TN	15.00	14.88	0	50	
12299	2	TN	14.91	14.88	0	50	
12299	3	TN	14.72	14.88	0	50	
12300	1	NPOC	12.22	12.33	0	50	
12300	2	NPOC	12.41	12.33	0	50	
12300	3	NPOC	12.36	12.33	0	50	
12300	1	TN	8.081	8.143	0	50	
12300	2	TN	7.787	8.143	1	50	
12300	3	TN	8.247	8.143	0	50	
12300	4	TN	8.100	8.143	0	50	
12301	1	NPOC	12.19	12.27	0	50	
12301	2	NPOC	12.19	12.27	0	50	
12301	3	NPOC	12.44	12.27	0	50	
12301	1	TN	7.569	7.937	1	50	
12301	2	TN	7.755	7.937	0	50	
12301	3	TN	8.039	7.937	0	50	
12301	4	TN	8.018	7.937	0	50	
12302	1	NPOC	13.75	13.94	0	50	
12302	2	NPOC	14.08	13.94	0	50	
12302	3	NPOC	13.99	13.94	0	50	
12302	1	TN	11.15	11.22	0	50	
12302	2	TN	11.11	11.22	0	50	
12302	3	TN	11.40	11.22	0	50	
12303	1	NPOC	13.32	13.48	0	50	
12303	2	NPOC	13.51	13.48	0	50	
12303	3	NPOC	13.60	13.48	0	50	
12303	1	TN	10.44	10.52	0	50	
12303	2	TN	10.53	10.52	0	50	
12303	3	TN	10.59	10.52	0	50	
12304	1	NPOC	13.63	13.57	0	50	
12304	2	NPOC	13.51	13.57	0	50	
12304	3	NPOC	13.58	13.57	0	50	
12304	1	TN	16.25	15.48	1	50	
12304	2	TN	15.46	15.48	0	50	
12304	3	TN	15.77	15.48	0	50	
12304	4	TN	15.20	15.48	0	50	
12305	1	NPOC	13.22	13.20	0	50	
12305	2	NPOC	13.03	13.20	0	50	
12305	3	NPOC	13.35	13.20	0	50	
12305	1	TN	12.54	12.63	0	50	
12305	2	TN	12.09	12.63	1	50	
12305	3	TN	12.09	12.63	1	50	
12305	4	TN	12.79	12.63	0	50	
12305	5	TN	12.55	12.63	0	50	
12306	1	NPOC	14.44	14.43	0	50	
12306	2	NPOC	14.29	14.43	0	50	
12306	3	NPOC	14.55	14.43	0	50	
12306	1	TN	15.50	14.70	1	50	
12306	2	TN	16.48	14.70	1	50	
12306	3	TN	15.21	14.70	0	50	
12306	4	TN	14.58	14.70	0	50	
12306	5	TN	14.30	14.70	0	50	
5ppm Check	1	NPOC	17.05	16.99	0	50	
5ppm Check	2	NPOC	16.96	16.99	0	50	
5ppm Check	3	NPOC	16.96	16.99	0	50	
5ppm Check	1	TN	59.39	59.02	0	50	
5ppm Check	2	TN	58.76	59.02	0	50	
5ppm Check	3	TN	58.92	59.02	0	50	
12307	1	NPOC	14.92	14.93	0	50	
12307	2	NPOC	14.74	14.93	0	50	
12307	3	NPOC	15.12	14.93	0	50	
12307	1	TN	15.91	15.97	0	50	
12307	2	TN	15.25	15.97	1	50	
12307	3	TN	16.09	15.97	0	50	
12307	4	TN	15.92	15.97	0	50	
12308	1	NPOC	14.30	14.53	0	50	
12308	2	NPOC	14.63	14.53	0	50	
12308	3	NPOC	14.66	14.53	0	50	
12308	1	TN	15.05	15.02	0	50	
12308	2	TN	15.35	15.02	0	50	
12308	3	TN	14.67	15.02	0	50	
12308	4	TN	13.43	15.02	1	50	
12308	5	TN	14.21	15.02	1	50	
12309	1	NPOC	13.52	13.62	0	50	
12309	2	NPOC	13.84	13.62	0	50	
12309	3	NPOC	13.51	13.62	0	50	
12309	1	TN	15.54	15.63	0	50	
12309	2	TN	15.56	15.63	0	50	
12309	3	TN	15.80	15.63	0	50	
12310	1	NPOC	13.34	13.51	0	50	
12310	2	NPOC	13.63	13.51	0	50	
12310	3	NPOC	13.55	13.51	0	50	
12310	1	TN	15.53	15.39	0	50	
12310	2	TN	15.30	15.39	0	50	
12310	3	TN	15.35	15.39	0	50	
12311	1	NPOC	24.97	25.14	0	50	
12311	2	NPOC	25.45	25.14	0	50	
12311	3	NPOC	25.00	25.14	0	50	
12311	1	TN	13.14	11.68	1	50	
12311	2	TN	12.27	11.68	1	50	
12311	3	TN	11.94	11.68	0	50	
12311	4	TN	11.53	11.68	0	50	
12311	5	TN	11.57	11.68	0	50	
12312	1	NPOC	30.96	31.27	0	50	
12312	2	NPOC	31.45	31.27	0	50	
12312	3	NPOC	31.40	31.27	0	50	
12312	1	TN	11.22	11.38	0	50	
12312	2	TN	11.14	11.38	0	50	
12312	3	TN	11.78	11.38	0	50	
12312	4	TN	10.25	11.38	1	50	
12312	5	TN	10.36	11.38	1	50	
12348	1	NPOC	3.504	2.686	1	50	
12348	2	NPOC	3.017	2.686	1	50	
12348	3	NPOC	2.819	2.686	0	50	
12348	4	NPOC	2.645	2.686	0	50	
12348	5	NPOC	2.593	2.686	0	50	
12348	1	TN	13.25	11.27	1	50	
12348	2	TN	11.46	11.27	0	50	
12348	3	TN	11.24	11.27	0	50	
12348	4	TN	11.12	11.27	0	50	
12349	1	NPOC	1.407	1.466	0	50	
12349	2	NPOC	1.516	1.466	0	50	
12349	3	NPOC	1.476	1.466	0	50	
12349	1	TN	15.59	16.25	1	50	
12349	2	TN	16.43	16.25	0	50	
12349	3	TN	16.27	16.25	0	50	
12349	4	TN	15.51	16.25	1	50	
12349	5	TN	16.05	16.25	0	50	
12350	1	NPOC	4.701	4.764	0	50	
12350	2	NPOC	4.772	4.764	0	50	
12350	3	NPOC	4.820	4.764	0	50	
12350	1	TN	42.30	42.16	0	50	
12350	2	TN	42.16	42.16	0	50	
12350	3	TN	42.03	42.16	0	50	
12351	1	NPOC	1.353	1.389	0	50	
12351	2	NPOC	1.444	1.389	0	50	
12351	3	NPOC	1.369	1.389	0	50	
12351	1	TN	2.844	2.799	0	50	
12351	2	TN	2.881	2.799	0	50	
12351	3	TN	2.476	2.799	1	50	
12351	4	TN	2.671	2.799	0	50	
12351	5	TN	3.140	2.799	1	50	
12356	1	NPOC	4.370	4.440	0	50	
12356	2	NPOC	4.469	4.440	0	50	
12356	3	NPOC	4.482	4.440	0	50	
12356	1	TN	69.14	69.59	0	50	
12356	2	TN	70.36	69.59	0	50	
12356	3	TN	69.27	69.59	0	50	
12357	1	NPOC	6.465	6.657	1	50	
12357	2	NPOC	6.729	6.657	0	50	
12357	3	NPOC	6.639	6.657	0	50	
12357	4	NPOC	6.602	6.657	0	50	
12357	1	TN	294.2	296.3	0	50	
12357	2	TN	298.0	296.3	0	50	
12357	3	TN	296.7	296.3	0	50	
12358	1	NPOC	2.669	2.720	0	50	
12358	2	NPOC	2.715	2.720	0	50	
12358	3	NPOC	2.775	2.720	0	50	
12358	1	TN	12.28	12.19	0	50	
12358	2	TN	12.93	12.19	1	50	
12358	3	TN	12.30	12.19	0	50	
12358	4	TN	12.93	12.19	1	50	
12358	5	TN	12.00	12.19	0	50	
12359	1	NPOC	4.073	4.323	1	50	
12359	2	NPOC	4.308	4.323	0	50	
12359	3	NPOC	4.380	4.323	0	50	
12359	4	NPOC	4.280	4.323	0	50	
12359	1	TN	13.54	13.61	0	50	
12359	2	TN	13.63	13.61	0	50	
12359	3	TN	13.65	13.61	0	50	
12360	1	NPOC	3.848	3.944	0	50	
12360	2	NPOC	4.044	3.944	0	50	
12360	3	NPOC	3.940	3.944	0	50	
12360	1	TN	95.97	96.96	0	50	
12360	2	TN	98.43	96.96	0	50	
12360	3	TN	96.48	96.96	0	50	
12361	1	NPOC	6.697	6.755	0	50	
12361	2	NPOC	6.851	6.755	0	50	
12361	3	NPOC	6.718	6.755	0	50	
12361	1	TN	115.1	114.4	0	50	
12361	2	TN	114.7	114.4	0	50	
12361	3	TN	113.4	114.4	0	50	
12362	1	NPOC	8.013	8.056	0	50	
12362	2	NPOC	7.940	8.056	0	50	
12362	3	NPOC	8.319	8.056	1	50	
12362	4	NPOC	8.214	8.056	0	50	
12362	1	TN	196.4	196.5	0	50	
12362	2	TN	195.0	196.5	0	50	
12362	3	TN	198.2	196.5	0	50	
12363	1	NPOC	13.75	13.94	0	50	
12363	2	NPOC	13.96	13.94	0	50	
12363	3	NPOC	14.10	13.94	0	50	
12363	1	TN	148.5	150.5	0	50	
12363	2	TN	150.5	150.5	0	50	
12363	3	TN	152.6	150.5	0	50	
12364	1	NPOC	2.412	2.464	0	50	
12364	2	NPOC	2.489	2.464	0	50	
12364	3	NPOC	2.490	2.464	0	50	
12364	1	TN	1.475	1.430	0	50	
12364	2	TN	1.497	1.430	0	50	
12364	3	TN	1.317	1.430	0	50	
12368	1	NPOC	1.905	1.976	0	50	
12368	2	NPOC	1.994	1.976	0	50	
12368	3	NPOC	2.029	1.976	0	50	
12368	1	TN	10.65	9.162	1	50	
12368	2	TN	9.235	9.162	0	50	
12368	3	TN	9.177	9.162	0	50	
12368	4	TN	9.075	9.162	0	50	
12369	1	NPOC	1.134	1.156	0	50	
12369	2	NPOC	1.139	1.156	0	50	
12369	3	NPOC	1.196	1.156	0	50	
12369	1	TN	12.18	12.05	0	50	
12369	2	TN	12.07	12.05	0	50	
12369	3	TN	11.90	12.05	0	50	
12370	1	NPOC	3.558	3.738	1	50	
12370	2	NPOC	3.683	3.738	0	50	
12370	3	NPOC	3.807	3.738	0	50	
12370	4	NPOC	3.725	3.738	0	50	
12370	1	TN	37.25	36.68	0	50	
12370	2	TN	36.54	36.68	0	50	
12370	3	TN	36.26	36.68	0	50	
12371	1	NPOC	1.155	1.167	0	50	
12371	2	NPOC	1.152	1.167	0	50	
12371	3	NPOC	1.194	1.167	0	50	
12371	1	TN	6.604	6.128	1	50	
12371	2	TN	6.250	6.128	0	50	
12371	3	TN	6.107	6.128	0	50	
12371	4	TN	5.820	6.128	1	50	
12371	5	TN	6.028	6.128	0	50	
12372	1	NPOC	3.097	3.315	1	50	
12372	2	NPOC	3.302	3.315	0	50	
12372	3	NPOC	3.367	3.315	0	50	
12372	4	NPOC	3.276	3.315	0	50	
12372	1	TN	44.56	44.86	0	50	
12372	2	TN	45.04	44.86	0	50	
12372	3	TN	44.99	44.86	0	50	
5ppm Check	1	NPOC	17.00	17.22	0	50	
5ppm Check	2	NPOC	17.39	17.22	0	50	
5ppm Check	3	NPOC	17.28	17.22	0	50	
5ppm Check	1	TN	60.28	60.26	0	50	
5ppm Check	2	TN	60.28	60.26	0	50	
5ppm Check	3	TN	60.23	60.26	0	50	
12373	1	NPOC	6.541	6.628	0	50	
12373	2	NPOC	6.573	6.628	0	50	
12373	3	NPOC	6.771	6.628	0	50	
12373	1	TN	101.6	102.5	0	50	
12373	2	TN	102.9	102.5	0	50	
12373	3	TN	103.1	102.5	0	50	
12374	1	NPOC	3.289	3.365	0	50	
12374	2	NPOC	3.378	3.365	0	50	
12374	3	NPOC	3.427	3.365	0	50	
12374	1	TN	68.98	68.86	0	50	
12374	2	TN	67.84	68.86	0	50	
12374	3	TN	69.75	68.86	0	50	
12375	1	NPOC	4.369	4.479	0	50	
12375	2	NPOC	4.560	4.479	0	50	
12375	3	NPOC	4.509	4.479	0	50	
12375	1	TN	11.67	11.75	0	50	
12375	2	TN	11.73	11.75	0	50	
12375	3	TN	11.86	11.75	0	50	
12376	1	NPOC	3.497	3.508	0	50	
12376	2	NPOC	3.432	3.508	0	50	
12376	3	NPOC	3.595	3.508	0	50	
12376	1	TN	17.88	18.28	0	50	
12376	2	TN	18.36	18.28	0	50	
12376	3	TN	18.59	18.28	0	50	
12377	1	NPOC	8.611	8.792	0	50	
12377	2	NPOC	8.897	8.792	0	50	
12377	3	NPOC	8.869	8.792	0	50	
12377	1	TN	175.9	175.2	0	50	
12377	2	TN	174.8	175.2	0	50	
