"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"C1",0.928635224777616,1,0.926016246986367,0.396097187296001,0.961425908106363,0.968635472151404,0.551233158134055,0.999214886294894,1,1,1,0.984612663084035,1,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.970181223991709,1
"C2",0.928635224777616,1.84629788283135e-22,0.926016246986367,0.882018712151034,0.961425908106363,1.84755482741815e-08,9.97148621348095e-09,8.8552973599565e-13,0.0193703462759212,4.73113480988638e-23,1,0.984612663084035,1,0.284993741953101,0.570227583207236,1,0.815871411448194,0.0590916476113941,0.0774500600663887,1
"C3",0.928635224777616,1,0.926016246986367,0.882018712151034,0.961425908106363,0.968635472151404,0.95620285663886,0.999214886294894,1,1,1,0.984612663084035,1,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.970181223991709,1
"C4",0.928635224777616,1,0.926016246986367,0.543249374282818,0.961425908106363,0.968635472151404,0.95620285663886,0.589867478106416,1,1,1,0.476259721945098,1,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.970181223991709,1
"C5",4.00237960935048e-05,1,0.926016246986367,3.23561292618689e-08,0.000513056174606128,0.968635472151404,0.153224777121823,0.652351831632982,1,1,1,0.647583548297772,1,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.0738230484927234,1
"C6",0.0977922929476153,1.09513535634466e-09,0.926016246986367,0.882018712151034,0.961425908106363,0.968635472151404,0.95620285663886,2.94697530991379e-05,1,0.255735852176979,0.00121029462651755,0.984612663084035,1,0.272450914638017,0.98740833470027,1,0.0400523557878964,0.00225337878597822,0.970181223991709,1
"C7",0.928635224777616,1,0.926016246986367,0.882018712151034,0.961425908106363,0.968635472151404,0.95620285663886,0.999214886294894,1,1,1,0.984612663084035,1,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.970181223991709,1
"C8",0.928635224777616,1,0.926016246986367,0.882018712151034,0.961425908106363,0.968635472151404,0.95620285663886,0.999214886294894,1,1,1,0.984612663084035,1,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.970181223991709,1
"C9",0.928635224777616,1,0.926016246986367,0.743469287733572,0.961425908106363,0.968635472151404,0.95620285663886,0.214590225391249,1,1,1,0.984612663084035,1,0.998173464591132,0.98740833470027,1,0.975768325312887,0.288941380116134,0.970181223991709,1
"C10",0.928635224777616,1,0.917243549646809,0.882018712151034,0.961425908106363,0.968635472151404,0.95620285663886,0.999214886294894,1,1,1,0.984612663084035,0.305804190885864,0.998173464591132,0.98740833470027,1,0.975768325312887,1,0.970181223991709,0.550989972021194
