Sample,Start,End,Rate (mg O2 Hr-1),R2,P-value
Howe,60,120,0.0234,0.764,<0.001
Howe,60,120,0.0274,0.807,<0.001
Howe,60,120,0.0236,0.747,<0.001
Rush,60,120,0.027,0.791,<0.001
Rush,60,120,0.019,0.723,<0.001
Rush,60,120,0.0268,0.767,<0.001
Pony,60,120,0.0406,0.834,<0.001
Pony,60,120,0.0461,0.876,<0.001
Pony,60,120,0.053,0.925,<0.001
