Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
UpperPine,32,40,1.73,0.861,<0.001
SecondPine,32,40,1.46,0.805,<0.001
Mountain,32,40,1.91,0.808,<0.001
Lily,32,40,2.06,0.837,<0.001
UF.UpperPine,32,40,2.19,0.866,<0.001
UF.SecondPine,32,40,1.68,0.846,<0.001
UF.Mountain,32,40,2.16,0.909,<0.001
UF.Lily,32,40,2.01,0.853,<0.001
