"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"C1",0.97060866874158,4.44979152022347e-10,0.949260951077764,0.440994179481571,1.02600486511739e-09,0.94843329898933,0.05197341761012,1,0.830903835183404,0.662929817482369,0.000471998472015125,1,0.983286811630591,1,0.971762189312898,1,1,1,1,0.994503603048926
"C2",0.97060866874158,0.902450818363574,2.60160834176913e-05,0.965542360557289,0.98653685058871,0.94843329898933,0.824135727266659,1,6.81727924533193e-06,0.610036486236596,0.000939243480742644,0.0565510312901604,0.983286811630591,0.260713865510486,1,0.00821779075030493,0.20797961109849,1,1,0.994503603048926
"C3",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C4",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C5",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.422518338774519,1,0.184531111606582,0.163961171558484,1,1,1,0.994503603048926
"C6",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C7",0.97060866874158,0.020902202745354,0.949260951077764,0.965542360557289,0.00592938869672467,0.94843329898933,0.0040503957474301,0.741224710209296,0.965657811918261,0.980190535908367,0.00104132163872794,1,0.983286811630591,0.0303162268918459,1,0.229173172176843,0.69568091643297,1,1,0.994503603048926
"C8",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C9",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C10",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.422518338774519,1,0.25255981297506,0.188364078787576,1,1,1,0.994503603048926
"C11",0.97060866874158,1.91252668871432e-10,0.949260951077764,0.965542360557289,2.21611440753465e-05,0.845453089506059,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,0.981865408117343,1,0.972986090151823,0.159037351732058,1,0.994503603048926
"C12",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C13",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C14",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C15",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C16",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C17",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C18",0.97060866874158,3.33002520886126e-30,0.0975140518108588,0.225383600829275,3.20437312396663e-22,0.131407617693611,0.716448527679767,1,0.965657811918261,0.980190535908367,1.49958985317592e-07,0.0457771333764025,0.983286811630591,1,1,1,1,1,0.247136781010462,0.994503603048926
"C19",0.00314758527616921,0.902450818363574,0.150371266871408,0.965542360557289,0.98653685058871,0.00110026180068571,1.12484686875821e-08,0.354381590432383,0.965657811918261,1.24874709076354e-05,1.10352493959513e-06,1,0.000605251222418678,1,0.840931842113788,1,0.00497799245702797,1,1,0.994503603048926
"C20",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C21",0.97060866874158,0.87092056699479,0.949260951077764,0.959847104572419,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C22",0.720134280415172,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
"C23",0.97060866874158,0.902450818363574,0.949260951077764,0.965542360557289,0.98653685058871,0.94843329898933,0.938419396477402,1,0.965657811918261,0.980190535908367,1,1,0.983286811630591,1,1,1,1,1,1,0.994503603048926
