Date	Time	Temp	ODO Conc	ODO%	pH	Salinity
M/D/Y	hh:mm:ss	C	mg/L	%		ppt
7/19/2011	9:40:31	25.84	7.34	90.3	6.37	0.02
7/19/2011	9:50:31	25.82	7.39	90.7	6.37	0.02
7/19/2011	10:00:31	25.79	7.39	90.7	6.36	0.02
7/19/2011	10:10:31	25.72	7.51	92.1	6.31	0.02
7/19/2011	10:20:31	25.69	7.56	92.7	6.34	0.02
7/19/2011	10:30:31	25.68	7.58	92.9	6.37	0.02
7/19/2011	10:40:31	25.67	7.58	92.9	6.44	0.02
7/19/2011	10:50:31	25.7	7.58	92.9	6.47	0.02
7/19/2011	11:00:31	25.72	7.61	93.3	6.41	0.02
7/19/2011	11:10:31	25.77	7.63	93.6	6.43	0.01
7/19/2011	11:20:31	25.81	7.64	93.8	6.46	0.02
7/19/2011	11:30:31	25.86	7.64	93.9	6.52	0.02
7/19/2011	11:40:31	25.94	7.61	93.7	6.53	0.02
7/19/2011	11:50:31	26.02	7.61	93.8	6.54	0.02
7/19/2011	12:00:31	26.1	7.6	93.8	6.55	0.02
7/19/2011	12:10:31	26.2	7.59	93.9	6.56	0.02
7/19/2011	12:20:31	26.29	7.61	94.3	6.52	0.02
7/19/2011	12:30:31	26.38	7.61	94.5	6.51	0.02
7/19/2011	12:40:31	26.49	7.59	94.4	6.59	0.02
7/19/2011	12:50:31	26.55	7.57	94.2	6.59	0.02
7/19/2011	13:00:31	26.64	7.57	94.3	6.6	0.02
7/19/2011	13:10:31	26.73	7.56	94.4	6.6	0.02
7/19/2011	13:20:31	26.82	7.55	94.5	6.61	0.02
7/19/2011	13:30:31	26.91	7.54	94.4	6.61	0.02
7/19/2011	13:40:31	26.99	7.53	94.5	6.62	0.02
7/19/2011	13:50:31	27.06	7.53	94.6	6.62	0.02
7/19/2011	14:00:31	27.13	7.52	94.6	6.63	0.02
7/19/2011	14:10:31	27.19	7.52	94.7	6.58	0.02
7/19/2011	14:20:31	27.25	7.5	94.6	6.57	0.02
7/19/2011	14:30:31	27.3	7.51	94.7	6.57	0.02
7/19/2011	14:40:31	27.35	7.5	94.7	6.57	0.02
7/19/2011	14:50:31	27.39	7.49	94.7	6.56	0.02
7/19/2011	15:00:31	27.44	7.49	94.7	6.55	0.02
7/19/2011	15:10:31	27.47	7.47	94.6	6.55	0.02
7/19/2011	15:20:31	27.51	7.48	94.7	6.54	0.02
7/19/2011	15:30:31	27.53	7.46	94.5	6.52	0.02
7/19/2011	15:40:31	27.56	7.5	95	6.53	0.02
7/19/2011	15:50:31	27.57	7.48	94.8	6.58	0.02
7/19/2011	16:00:31	27.62	7.49	95.1	6.52	0.02
7/19/2011	16:10:31	27.66	7.49	95.1	6.52	0.02
