Date	Time	Temp	ODO Conc	ODO%	pH	Salinity
M/D/Y	hh:mm:ss	C	mg/L	%		ppt
7/19/2011	9:30:32	24.79	7.68	92.5	5.83	0.01
7/19/2011	9:40:32	24.76	7.85	94.5	5.76	0
7/19/2011	9:50:32	24.89	7.7	93	5.82	0
7/19/2011	10:00:32	24.87	7.93	95.8	5.72	0
7/19/2011	10:10:32	24.9	7.97	96.3	5.76	0
7/19/2011	10:20:32	24.94	7.98	96.4	5.79	0
7/19/2011	10:30:32	24.93	7.98	96.4	5.79	0
7/19/2011	10:40:32	24.96	7.9	95.5	5.87	0
7/19/2011	10:50:32	24.99	7.97	96.4	5.75	0
7/19/2011	11:00:32	24.97	8	96.8	5.76	0
7/19/2011	11:10:32	24.99	8.01	96.9	5.74	0
7/19/2011	11:20:32	25.01	8.01	96.9	5.74	0
7/19/2011	11:30:32	25.14	7.93	96.2	5.87	0
7/19/2011	11:40:32	25.27	7.84	95.3	5.87	0
7/19/2011	11:50:32	25.39	7.79	94.9	5.87	0
7/19/2011	12:00:32	25.5	7.73	94.4	5.87	0
7/19/2011	12:10:32	25.27	7.96	96.8	5.72	0
7/19/2011	12:20:32	25.29	7.98	97.1	5.75	0
7/19/2011	12:30:32	25.35	7.96	96.9	5.82	0
7/19/2011	12:40:32	26.03	7.86	96.9	5.81	0
7/19/2011	12:50:33	30.73	7.04	94.4	5.91	0
7/19/2011	13:00:36	33.49	6.63	93	5.9	0
7/19/2011	13:10:35	37.11	6.08	90.6	5.93	0
7/19/2011	13:20:35	42.76	5.4	87.9	5.95	0
7/19/2011	13:30:36	46.41	5.08	87.5	5.96	0
7/19/2011	13:40:36	35.92	6.84	99.9	5.84	0
7/19/2011	13:50:36	34.02	7.17	101.5	5.84	0
7/19/2011	14:00:35	32.6	7.4	102.3	5.87	0.01
7/19/2011	14:10:36	31.95	7.4	101.1	5.66	0.01
7/19/2011	14:20:36	31.65	7.35	100	5.61	0.01
7/19/2011	14:30:35	31.38	7.33	99.3	5.77	0.01
7/19/2011	14:40:33	18.21	0.5	5.3	5.37	0.03
7/19/2011	14:50:32	18.49	1.51	16.1	5.47	0.02
7/19/2011	15:00:32	18.31	1.58	16.8	5.47	0.02
7/19/2011	15:10:31	18.22	1.11	11.8	5.45	0.03
7/19/2011	15:20:31	18.17	0.89	9.5	5.43	0.03
7/19/2011	15:30:32	18.15	0.82	8.7	5.44	0.03
7/19/2011	15:40:31	18.13	0.73	7.7	5.45	0.03
7/19/2011	15:50:31	18.12	0.67	7.1	5.44	0.03
7/19/2011	16:00:31	18.1	0.62	6.6	5.44	0.03
7/19/2011	16:10:31	18.08	0.53	5.6	5.44	0.03
7/19/2011	16:20:31	18.06	0.46	4.8	5.44	0.03
7/19/2011	16:30:31	18.06	0.41	4.3	5.44	0.03
7/19/2011	16:40:31	18.04	0.38	4.1	5.44	0.03
7/19/2011	16:50:31	18.03	0.36	3.8	5.45	0.03
7/19/2011	17:00:31	18.02	0.34	3.6	5.45	0.03
7/19/2011	17:10:31	18.01	0.32	3.4	5.45	0.03
7/19/2011	17:20:31	18	0.31	3.3	5.46	0.03
7/19/2011	17:30:31	17.99	0.3	3.2	5.46	0.03
7/19/2011	17:40:31	17.99	0.3	3.2	5.47	0.03
7/19/2011	17:50:32	17.98	0.3	3.2	5.48	0.03
7/19/2011	18:00:32	17.98	0.3	3.1	5.48	0.03
7/19/2011	18:10:31	17.97	0.29	3.1	5.49	0.03
7/19/2011	18:20:31	17.97	0.29	3.1	5.49	0.03
7/19/2011	18:30:31	17.96	0.29	3.1	5.5	0.03
7/19/2011	18:40:31	17.96	0.29	3	5.51	0.03
7/19/2011	18:50:31	17.95	0.28	3	5.51	0.03
7/19/2011	19:00:31	17.94	0.28	3	5.52	0.03
