Date	Time	Temp	ODO Conc	ODO%	pH	Salinity
M/D/Y	hh:mm:ss	C	mg/L	%		ppt
7/19/2011	9:30:42	26.08	7.35	90.7	6.52	0.03
7/19/2011	9:40:24	25.99	7.17	88.4	6.52	0.03
7/19/2011	9:50:35	25.97	7.42	91.4	6.55	0.03
7/19/2011	10:00:39	25.87	7.51	92.4	6.43	0.03
7/19/2011	10:10:41	25.8	7.61	93.5	6.43	0.03
7/19/2011	10:20:46	25.76	7.65	93.9	6.48	0.03
7/19/2011	10:30:45	25.72	7.65	93.8	6.5	0.03
7/19/2011	10:40:24	25.68	7.67	93.9	6.55	0.03
7/19/2011	10:50:34	25.66	7.61	93.2	6.54	0.03
7/19/2011	11:00:25	25.59	7.69	94.1	6.42	0.03
7/19/2011	11:10:39	25.56	7.71	94.2	6.48	0.03
7/19/2011	11:20:25	25.54	7.73	94.5	6.46	0.03
7/19/2011	11:30:39	25.53	7.7	94.1	6.56	0.03
7/19/2011	11:40:25	25.53	7.64	93.4	6.55	0.03
7/19/2011	11:50:40	25.53	7.65	93.5	6.55	0.03
7/19/2011	12:00:39	25.53	7.69	94	6.55	0.03
7/19/2011	12:10:24	25.53	7.7	94.1	6.55	0.03
7/19/2011	12:20:35	25.53	7.72	94.4	6.49	0.03
7/19/2011	12:30:39	25.54	7.74	94.6	6.43	0.03
7/19/2011	12:40:25	25.55	7.67	93.8	6.57	0.03
7/19/2011	12:50:40	25.58	7.69	94	6.56	0.03
7/19/2011	13:00:39	25.61	7.69	94.2	6.56	0.03
7/19/2011	13:10:25	25.64	7.6	93.1	6.56	0.03
7/19/2011	13:20:34	25.67	7.65	93.8	6.56	0.03
7/19/2011	13:30:40	25.7	7.67	94.1	6.56	0.03
7/19/2011	13:40:40	25.74	7.67	94.1	6.55	0.03
7/19/2011	13:50:40	25.78	7.66	94	6.56	0.03
7/19/2011	14:00:40	25.82	7.64	93.9	6.56	0.03
7/19/2011	14:10:40	25.87	7.64	94	6.56	0.03
7/19/2011	14:20:40	25.91	7.63	93.9	6.56	0.03
7/19/2011	14:30:40	25.95	7.63	93.9	6.56	0.03
7/19/2011	14:40:40	25.99	7.62	93.9	6.56	0.03
7/19/2011	14:50:40	26.03	7.61	93.9	6.56	0.03
7/19/2011	15:00:40	26.07	7.6	93.8	6.56	0.03
7/19/2011	15:10:40	26.11	7.58	93.6	6.56	0.03
7/19/2011	15:20:25	26.15	7.41	91.6	6.56	0.03
7/19/2011	15:30:35	26.18	7.65	94.6	6.42	0.03
7/19/2011	15:40:40	26.23	7.64	94.5	6.57	0.03
7/19/2011	15:50:42	26.26	7.6	94.1	6.47	0.03
7/19/2011	16:00:46	26.31	7.64	94.6	6.47	0.03
7/19/2011	16:10:46	26.34	7.61	94.4	6.53	0.03
7/19/2011	16:20:46	26.52	7.56	94	6.52	0
7/19/2011	16:30:45	26.53	7.6	94.6	6.46	0.02
7/19/2011	16:40:24	26.65	7.65	95.4	6.45	0
7/19/2011	16:50:24	26.9	7.61	95.4	6.47	0.01
7/19/2011	17:00:24	27.07	7.61	95.7	6.48	0.02
7/19/2011	17:10:24	27.2	7.59	95.6	6.44	0.03
7/19/2011	17:20:24	27.31	7.61	96	6.43	0.03
7/19/2011	17:30:24	27.38	7.59	95.9	6.43	0.03
7/19/2011	17:40:24	27.58	7.56	95.8	6.57	0.02
7/19/2011	17:50:24	25.75	8.33	102.2	7.21	0.02
7/19/2011	18:00:24	25.83	8.33	102.4	7.31	0.02
7/19/2011	18:10:24	25.73	8.39	102.9	7.34	0.02
7/19/2011	18:20:24	25.98	8.29	102.2	7.32	0.02
7/19/2011	18:30:24	25.8	8.33	102.3	7.33	0.02
7/19/2011	18:40:24	25.9	8.34	102.6	7.38	0.02
7/19/2011	18:50:24	25.95	8.28	102	7.38	0.02
7/19/2011	19:00:24	25.91	8.25	101.6	7.44	0.02
7/19/2011	19:10:24	25.91	8.37	103	7.48	0.02
7/19/2011	19:20:24	25.94	8.35	102.8	7.46	0.02
7/19/2011	19:30:24	25.94	8.39	103.2	7.47	0.02
7/19/2011	19:40:24	26.05	8.34	102.9	7.45	0.02
7/19/2011	19:50:24	26.02	8.35	103	7.48	0.02
7/19/2011	20:00:24	26.05	8.28	102.2	7.42	0.02
7/19/2011	20:10:24	25.99	8.29	102.1	7.39	0.02
7/19/2011	20:20:24	26.15	8.24	101.9	7.43	0.02
7/19/2011	20:30:24	26.21	8.25	102	7.44	0.02
7/19/2011	20:40:24	26.23	8.25	102.1	7.41	0.02
7/19/2011	20:50:24	26.29	8.24	102.2	7.42	0.02
7/19/2011	21:00:24	26.33	8.24	102.2	7.4	0.02
7/19/2011	21:10:24	26.42	8.22	102.1	7.43	0.02
7/19/2011	21:20:24	26.44	8.2	101.9	7.41	0.02
7/19/2011	21:30:24	26.51	8.2	102	7.4	0.02
7/19/2011	21:40:24	26.54	8.21	102.2	7.48	0.02
7/19/2011	21:50:24	26.51	8.26	102.8	7.46	0.02
7/19/2011	22:00:24	26.38	8.21	101.8	7.43	0.02
7/19/2011	22:10:24	26.3	8.4	104.1	7.46	0.02
7/19/2011	22:20:24	26.32	8.21	101.7	7.44	0.02
7/19/2011	22:30:24	26.33	8.21	101.8	7.4	0.02
7/19/2011	22:40:24	26.23	8.23	101.9	7.38	0.02
7/19/2011	22:50:24	26.24	8.22	101.8	7.38	0.02
7/19/2011	23:00:24	26.22	8.23	101.8	7.37	0.02
7/19/2011	23:10:24	26.25	8.23	101.8	7.38	0.02
7/19/2011	23:20:24	26.23	8.22	101.8	7.39	0.02
7/19/2011	23:30:24	26.16	8.25	101.9	7.38	0.02
7/19/2011	23:40:24	26.14	8.25	102	7.39	0.02
7/19/2011	23:50:24	26.17	8.25	102	7.38	0.02
7/20/2011	0:00:24	26.28	8.21	101.7	7.38	0.02
7/20/2011	0:10:24	26.25	8.24	102.1	7.39	0.02
7/20/2011	0:20:24	26.24	8.24	102.1	7.39	0.02
7/20/2011	0:30:24	26.37	8.19	101.7	7.4	0.02
7/20/2011	0:40:24	26.27	8.19	101.4	7.38	0.02
7/20/2011	0:50:24	26.26	8.22	101.8	7.38	0.02
7/20/2011	1:00:24	26.25	8.21	101.7	7.36	0.02
7/20/2011	1:10:24	26.34	8.19	101.6	7.34	0.02
7/20/2011	1:20:24	26.4	8.2	101.8	7.4	0.02
7/20/2011	1:30:24	26.48	8.19	101.8	7.37	0.02
7/20/2011	1:40:24	26.48	8.17	101.5	7.43	0.02
7/20/2011	1:50:24	26.45	8.17	101.6	7.39	0.02
7/20/2011	2:00:24	26.42	8.18	101.5	7.37	0.02
7/20/2011	2:10:24	26.44	8.17	101.5	7.42	0.02
7/20/2011	2:20:24	26.41	8.15	101.1	7.39	0.02
7/20/2011	2:30:24	26.37	8.15	101.1	7.38	0.02
7/20/2011	2:40:24	26.35	8.15	101.1	7.39	0.02
7/20/2011	2:50:24	26.34	8.15	101.1	7.42	0.02
7/20/2011	3:00:24	26.33	8.15	101.1	7.37	0.02
7/20/2011	3:10:24	26.32	8.14	101	7.38	0.02
7/20/2011	3:20:24	26.3	8.15	101	7.36	0.02
7/20/2011	3:30:24	26.29	8.16	101.1	7.34	0.02
7/20/2011	3:40:24	26.24	8.16	101	7.4	0.02
7/20/2011	3:50:24	26.26	8.15	101	7.38	0.02
7/20/2011	4:00:24	26.24	8.16	101	7.36	0.02
7/20/2011	4:10:24	26.22	8.16	101	7.34	0.02
7/20/2011	4:20:24	26.21	8.16	100.9	7.38	0.02
7/20/2011	4:30:24	26.21	8.15	100.9	7.36	0.02
7/20/2011	4:40:24	26.16	8.15	100.7	7.33	0.02
7/20/2011	4:50:24	26.06	8.17	100.8	7.3	0.02
7/20/2011	5:00:24	26.12	8.14	100.6	7.29	0.02
7/20/2011	5:10:24	26.1	8.11	100.1	7.28	0.02
7/20/2011	5:20:24	26.11	8.1	100	7.3	0.02
7/20/2011	5:30:24	26.13	8.07	99.7	7.28	0.02
7/20/2011	5:40:24	26.11	8.09	99.9	7.32	0.02
7/20/2011	5:50:24	26.11	8.07	99.6	7.33	0.02
