Date	Time	Temp	ODO Conc	ODO%	pH	Salinity
M/D/Y	hh:mm:ss	C	mg/L	%		ppt
7/19/2011	7:00:31	23.64	7.66	90.4	6.64	0.01
7/19/2011	7:10:31	23.28	7.68	90	6.67	0.01
7/19/2011	7:20:31	22.8	7.79	90.5	5.87	0.02
7/19/2011	7:30:31	22.53	7.83	90.5	6.01	0.02
7/19/2011	7:40:31	22.46	7.82	90.2	5.96	0.02
7/19/2011	7:50:31	25.77	8.37	102.7	8.1	0.03
7/19/2011	8:00:31	25.77	8.41	103.2	8.12	0.03
7/19/2011	8:10:31	25.78	8.39	103	8.15	0.03
7/19/2011	8:20:31	25.78	8.4	103.1	8.16	0.03
7/19/2011	8:30:31	25.76	8.4	103.1	8.17	0.03
7/19/2011	8:40:31	25.75	8.38	102.8	8.19	0.03
7/19/2011	8:50:31	25.77	8.42	103.4	8.18	0.03
7/19/2011	9:00:31	25.78	8.41	103.2	8.18	0.03
7/19/2011	9:10:32	25.78	8.42	103.3	8.18	0.03
7/19/2011	9:20:30	25.78	8.41	103.3	8.18	0.03
7/19/2011	9:30:31	25.78	8.42	103.3	8.19	0.03
7/19/2011	9:40:31	25.8	8.43	103.5	8.2	0.03
7/19/2011	9:50:31	25.81	8.43	103.5	8.21	0.03
7/19/2011	10:00:31	25.8	8.43	103.6	8.21	0.03
7/19/2011	10:10:31	25.79	8.45	103.8	8.2	0.03
7/19/2011	10:20:31	25.81	8.46	103.9	8.21	0.03
7/19/2011	10:30:31	25.81	8.46	104	8.21	0.03
7/19/2011	10:40:31	25.47	8.52	104.1	8.26	0.03
7/19/2011	10:50:31	25.61	8.5	104.1	8.24	0.03
7/19/2011	11:00:31	25.85	8.49	104.4	8.27	0.03
7/19/2011	11:10:31	25.49	8.58	104.7	8.23	0.03
7/19/2011	11:20:31	25.55	8.6	105.1	8.23	0.03
7/19/2011	11:30:31	25.91	8.51	104.8	8.26	0.03
7/19/2011	11:40:31	25.91	8.51	104.7	8.26	0.03
7/19/2011	11:50:31	25.72	8.57	105.1	8.25	0.03
7/19/2011	12:00:31	25.74	8.57	105.2	8.27	0.03
7/19/2011	12:10:31	25.99	8.52	105	8.29	0.03
7/19/2011	12:20:31	26.15	8.51	105.1	8.29	0.03
7/19/2011	12:30:31	25.91	8.54	105.1	8.31	0.03
7/19/2011	12:40:31	26.04	8.54	105.4	8.28	0.03
7/19/2011	12:50:31	26.2	8.54	105.6	8.31	0.03
7/19/2011	13:00:31	26.18	8.54	105.6	8.32	0.03
7/19/2011	13:10:31	26.07	8.55	105.5	8.3	0.03
7/19/2011	13:20:31	26.18	8.56	105.9	8.32	0.03
7/19/2011	13:30:31	26.28	8.55	105.9	8.31	0.03
7/19/2011	13:40:31	26.3	8.55	105.9	8.33	0.03
7/19/2011	13:50:31	26.4	8.52	105.8	8.33	0.03
7/19/2011	14:00:35	26.51	8.51	105.9	8.32	0.03
7/19/2011	14:10:30	26.5	8.51	105.8	8.32	0.03
7/19/2011	14:20:31	26.59	8.52	106.1	8.32	0.03
7/19/2011	14:30:31	26.62	8.52	106.2	8.33	0.03
7/19/2011	14:40:31	26.62	8.51	106.1	8.33	0.03
7/19/2011	14:50:31	26.64	8.51	106.1	8.33	0.03
7/19/2011	15:00:31	26.74	8.51	106.3	8.34	0.03
7/19/2011	15:10:31	26.73	8.52	106.4	8.33	0.03
7/19/2011	15:20:31	26.77	8.52	106.5	8.33	0.03
7/19/2011	15:30:31	26.78	8.52	106.5	8.34	0.03
7/19/2011	15:40:32	26.74	8.53	106.6	8.34	0.03
7/19/2011	15:50:34	26.75	8.52	106.5	8.35	0.03
7/19/2011	16:00:29	26.81	8.51	106.4	8.37	0.03
7/19/2011	16:10:31	26.86	8.51	106.5	8.34	0.03
7/19/2011	16:20:29	26.87	8.52	106.7	8.33	0.03
7/19/2011	16:30:30	26.88	8.51	106.6	8.34	0.03
7/19/2011	16:40:31	26.9	8.51	106.7	8.34	0.03
7/19/2011	16:50:31	26.96	8.5	106.6	8.35	0.03
7/19/2011	17:00:31	26.97	8.5	106.6	8.36	0.03
7/19/2011	17:10:31	26.98	8.48	106.4	8.36	0.03
7/19/2011	17:20:31	26.98	8.49	106.6	8.36	0.03
7/19/2011	17:30:31	26.95	8.51	106.7	8.35	0.03
7/19/2011	17:40:35	26.9	8.51	106.6	8.36	0.03
7/19/2011	17:50:29	26.86	8.53	106.8	8.35	0.03
7/19/2011	18:00:31	27.08	8.5	106.8	8.38	0.03
7/19/2011	18:10:31	27.04	8.51	106.9	8.36	0.03
7/19/2011	18:20:26	27.05	8.51	106.9	8.36	0.03
7/19/2011	18:30:30	27.18	8.49	106.9	8.34	0.03
7/19/2011	18:40:31	27.21	8.47	106.7	8.36	0.03
