Date	Time	Temp	ODO Conc	ODO%	pH	Salinity
M/D/Y	hh:mm:ss	C	mg/L	%		ppt
7/19/2011	9:30:24	23.81	7.95	94.1	5.52	0.02
7/19/2011	9:40:24	23.74	7.94	93.8	5.55	0.02
7/19/2011	9:50:24	23.75	7.93	93.8	5.59	0.02
7/19/2011	10:00:37	23.74	7.95	93.9	5.38	0.02
7/19/2011	10:10:24	23.75	8.11	95.8	5.44	0.02
7/19/2011	10:20:34	23.77	8.14	96.3	5.5	0.02
7/19/2011	10:30:24	23.79	8.15	96.4	5.54	0.02
7/19/2011	10:40:36	23.8	8.14	96.3	5.65	0.02
7/19/2011	10:50:24	23.82	8.14	96.4	5.65	0.02
7/19/2011	11:00:35	23.85	8.15	96.5	5.56	0.02
7/19/2011	11:10:24	23.89	8.17	96.9	5.47	0.02
7/19/2011	11:20:35	23.92	8.17	96.9	5.47	0.02
7/19/2011	11:30:24	23.94	8.17	97	5.66	0.02
7/19/2011	11:40:35	23.96	8.16	96.9	5.68	0.02
7/19/2011	11:50:24	23.99	8.16	96.9	5.67	0.02
7/19/2011	12:00:35	24.02	8.15	96.9	5.68	0.02
7/19/2011	12:10:31	24.06	8.14	96.8	5.68	0.02
7/19/2011	12:20:34	24.18	8.15	97.2	5.56	0.02
7/19/2011	12:30:41	24.25	8.15	97.3	5.56	0.02
7/19/2011	12:40:40	24.34	8.21	98.2	5.58	0.02
7/19/2011	12:50:40	25.08	8.17	99	5.74	0.02
7/19/2011	13:00:24	24.33	8.49	101.5	4.13	0
7/19/2011	13:10:34	25.35	8.76	106.7	7.29	0.03
7/19/2011	13:20:46	25.39	8.76	106.7	7.64	0.03
7/19/2011	13:30:46	25.36	8.77	106.8	7.65	0.03
7/19/2011	13:40:30	25.37	8.77	106.9	7.71	0.03
7/19/2011	13:50:35	25.61	8.73	106.9	7.75	0.03
7/19/2011	14:00:30	25.59	8.75	107.1	7.77	0.03
7/19/2011	14:10:35	25.71	8.73	107	7.8	0.03
7/19/2011	14:20:30	25.6	8.74	107	7.77	0.03
7/19/2011	14:30:35	25.44	8.81	107.5	7.74	0.03
7/19/2011	14:40:24	25.44	8.8	107.4	7.76	0.03
7/19/2011	14:50:35	25.44	8.8	107.3	7.78	0.03
7/19/2011	15:00:46	25.45	8.81	107.5	7.81	0.03
7/19/2011	15:10:24	25.42	8.81	107.4	7.78	0.03
7/19/2011	15:20:25	25.43	8.8	107.3	7.79	0.03
7/19/2011	15:30:35	25.43	8.8	107.3	7.8	0.03
7/19/2011	15:40:30	25.41	8.82	107.5	7.81	0.03
7/19/2011	15:50:35	25.45	8.81	107.5	7.83	0.03
7/19/2011	16:00:30	25.5	8.81	107.6	7.84	0.03
7/19/2011	16:10:35	25.51	8.81	107.6	7.81	0.03
7/19/2011	16:20:30	25.5	8.8	107.5	7.84	0.03
7/19/2011	16:30:35	25.46	8.81	107.5	7.79	0.03
7/19/2011	16:40:30	25.44	8.83	107.7	7.85	0.03
7/19/2011	16:50:35	25.47	8.83	107.7	7.8	0.03
7/19/2011	17:00:30	25.45	8.82	107.6	7.8	0.03
7/19/2011	17:10:35	25.38	8.83	107.7	7.86	0.03
7/19/2011	17:20:24	25.41	8.86	108	7.82	0.03
7/19/2011	17:30:35	25.35	8.88	108.2	7.85	0.03
7/19/2011	17:40:24	25.37	8.88	108.2	7.84	0.03
7/19/2011	17:50:35	25.3	8.89	108.2	7.86	0.03
7/19/2011	18:00:24	25.28	8.89	108.1	7.86	0.03
7/19/2011	18:10:35	25.25	8.91	108.3	7.85	0.03
7/19/2011	18:20:24	25.19	8.91	108.2	7.85	0.03
7/19/2011	18:30:35	25.13	8.94	108.5	7.86	0.03
7/19/2011	18:40:24	25.15	8.95	108.6	7.86	0.03
7/19/2011	18:50:35	25.12	8.96	108.6	7.89	0.03
7/19/2011	19:00:24	25.09	8.99	108.9	7.88	0.03
7/19/2011	19:10:35	25.07	9.01	109.2	7.88	0.03
